cluster,feature,mean,SD,min,max
0,Common_Intercept,0.17800290478569894,0.14056508279396887,-0.0287557294270455,0.4104908613247562
0,Common_Slope,0.08317643178659183,0.160525062584379,-0.3108785422747779,0.3578883884222509
0,Congruent_Intercept,0.2134910706100492,0.14366243754938868,-0.0732224754234631,0.5007478114375956
0,Congruent_Slope,0.00011374126226651663,8.981776393957302e-05,-1.838183048579028e-05,0.0002622925413774
0,Incongruent_Intercept,0.0004423624572062348,0.0006976009863811481,-0.000431458582622,0.0018103403539548
0,Incongruent_Slope,0.0003146040979779588,0.00021170460106291787,-0.000107900173354,0.0007379167139188
1,Common_Intercept,-0.5102364516935536,0.1250354142323037,-0.7733615977945255,-0.3427416998292112
1,Common_Slope,-0.5666998387272153,0.17812642841241125,-0.8972259888590363,-0.3187414129701511
1,Congruent_Intercept,-0.43945318805665406,0.163285044876322,-0.7766301383466494,-0.158264643346266
1,Congruent_Slope,-0.0003260216674604176,7.98954643575052e-05,-0.0004941495841974,-0.0002190058849997
1,Incongruent_Intercept,0.001567780115774812,0.0007122591109760591,0.0005095971811896,0.0031830087766996
1,Incongruent_Slope,-0.0006475815650044707,0.00024061897157283657,-0.0011444526295829,-0.0002332197759489
2,Common_Intercept,-0.21024792010541307,0.12590653224567708,-0.430256733712119,-0.0035595576448744
2,Common_Slope,-0.25043143550328656,0.16645019587113064,-0.478602342447307,0.0338756961346918
2,Congruent_Intercept,-0.2382715998797937,0.15309311723759275,-0.514468352275163,0.0025391438721375
2,Congruent_Slope,-0.00013434426130063057,8.044723141943659e-05,-0.0002749197572923,-2.274358446328783e-06
2,Incongruent_Intercept,0.000579375721574156,0.0005476599143480741,-0.0003480412450833,0.001539806308338
2,Incongruent_Slope,-0.00035112039027129555,0.0002255977792897626,-0.0007581215654688,3.7351168918003818e-06
3,Common_Intercept,0.014838428983043701,0.1461777916280849,-0.2541188529124317,0.3028885519903501
3,Common_Slope,0.1280874755831616,0.15533626281285512,-0.1751473955541548,0.3811961448897868
3,Congruent_Intercept,-0.05889022481725064,0.11085163729714545,-0.2866541024997602,0.1169325705086316
3,Congruent_Slope,9.480678451138401e-06,9.340106910936939e-05,-0.0001623717463887,0.0001935367635199
3,Incongruent_Intercept,-0.0006690323618493383,0.0006525101025716734,-0.0018495757524273,0.0004947926197244
3,Incongruent_Slope,-8.678441766307965e-05,0.0001633523811912643,-0.0004224224454745,0.0001723208395494
4,Common_Intercept,0.21704169425689745,0.13833891197771103,-0.1804594788805229,0.4241740257343419
4,Common_Slope,0.35398014879031775,0.15397389139782147,0.108178988374198,0.6343772714072777
4,Congruent_Intercept,0.22352450375192903,0.10379065365568958,0.0426809167034768,0.4576192389324312
4,Congruent_Slope,0.00013867907641275913,8.839414581091276e-05,-0.0001153011454144,0.0002710407005516
4,Incongruent_Intercept,-0.0015006590890922445,0.000676695456840443,-0.0027124579219162,-0.00054986420659
4,Incongruent_Slope,0.00032938803912960864,0.00015294641639246694,6.288321190525567e-05,0.0006743472090415
5,Common_Intercept,0.6130797734723971,0.188874967830201,0.4487995829690137,0.9818613570181808
5,Common_Slope,0.3951533584252709,0.15989911391690448,0.1678441340511005,0.6513200315086944
5,Congruent_Intercept,0.6033530866970439,0.1483240589646914,0.4727388969420351,0.8795075653770037
5,Congruent_Slope,0.0003917376991862333,0.00012068872188241732,0.0002867775521302,0.0006273868613591
5,Incongruent_Intercept,-0.0005573827143290833,0.0010133229966363285,-0.0020593640046827,0.000646027866119
5,Incongruent_Slope,0.0008891124646471501,0.00021857465189903622,0.000696641154965,0.0012960590769335
