K,inertia,BIC
1,600.0000000000001,183.7811171087936
2,264.14378449544074,106.34268108567163
3,189.3398196902193,77.6528307984984
4,160.99910896510008,66.04354520423202
5,137.02406451386975,54.524488710009905
6,118.6475773812189,44.729758964998155
