UID,Common_Intercept,Common_Slope,Congruent_Intercept,Congruent_Slope,Incongruent_Intercept,Incongruent_Slope
A010,0.1373135516491902,0.5238555321174045,0.2878700700632478,8.773023504409006e-05,-0.0018989143971677,0.0004242104707663
A011,-0.0108170618638842,-0.0839347926020538,-0.0136382542285164,-6.917869972241978e-06,0.0001893557376572,-2.009872978095082e-05
A012,0.235672142014833,-0.043999032911293,0.1759679399082157,0.0001506038671026,8.870709453019752e-05,0.0002593141763307
A013,-0.2798697467696096,-0.0408180192584736,-0.12597441944732,-0.0001788184561326,7.612214674250567e-05,-0.0001856349387693
A014,0.1599769132095116,-0.0146646392343323,0.0078227261137303,0.0001022137598812,-0.000144382828863,1.1520755006967009e-05
A015,0.5046025018106288,0.6513200315086944,0.5636625817422588,0.0003224130385802,-0.0020593640046827,0.0008306168082408
A016,0.1777727513430988,0.2657395555010465,0.3671858559333686,0.0001135786639964,-0.0025774131206368,0.0005410807135189
A017,0.1683035531496062,-0.3108785422747779,0.3411373319250246,0.0001075489929295,0.0015841313532521,0.0005027149049306
A018,0.0684876777349577,0.2481726928535816,0.2135880658624721,4.376333089777781e-05,-0.0009197487284521,0.0003147470683963
A019,-0.3710718160844401,-0.6437961744713696,-0.2321851472142384,-0.0002370928820617,0.0017874117606649,-0.0003421402860666
A020,-0.1664641805194389,-0.478602342447307,-0.4358311564542668,-0.0001063791071471,-0.0003480412450833,-0.0006422550033971
A021,0.3598770941538644,0.4514608479840372,0.2110083679460116,0.0002299560020632,-0.0016229795881533,0.0003109516304358
A022,0.0541037929131867,0.3578883884222509,0.3181637392666838,3.4583148935548374e-05,0.0001564502615393,0.0004688536280041
A023,0.1825659958953858,-0.1464095032201474,0.0268641021344154,0.0001166615572503,0.0018103403539548,3.958439520761442e-05
A024,-0.0200416433635827,0.051037755649766,-0.2866541024997602,-1.2809745719538604e-05,-0.0005653872936852,-0.0004224224454745
A025,0.2586140302775883,0.4524220812355816,0.0426809167034768,0.0001652337757421,-0.0017686994989856,6.288321190525567e-05
A026,0.0154984417253202,0.3811961448897868,0.0921886480059582,9.90800332920728e-06,-0.0008941244566573,0.0001358438445953
A027,-0.038549035144922,-0.0635016669333392,0.0678878999163342,-2.4631976831137657e-05,9.605741882235732e-05,0.000100037367553
A028,0.027837937326897,0.0744484459930713,0.1866355677130914,1.7777038497777434e-05,-0.0002991937064006,0.0002750192838825
A029,0.5661495825964226,0.4116127556582598,0.5447740047030306,0.0003617484801361,-0.0003109204560181,0.0008027789116917
A030,0.2209111074988307,0.2310246673308529,0.2545705468940906,0.0001411603395356,0.0002677083487562,0.0003751459109153
A031,0.1601569423358592,-0.1751473955541548,-0.1689074015661331,0.0001023218198974,0.0002006415046869,-0.0002489146240998
A032,0.4018250262815852,0.2695109490067519,0.1711707028337921,0.0002567677570463,0.0014373086678405,0.0002522520689485
A033,-0.028428404467174,0.0757741408633372,0.1419869035227663,-1.815200809697757e-05,0.0004901089040029,0.0002092353589912
A034,0.2933172439208885,0.3324799217785757,0.4576192389324312,0.0001874127134507,-0.0010912961966998,0.0006743472090415
A035,-0.1476413489540745,-0.1545936702821782,-0.1266502420487578,-9.43363719597722e-05,0.0007547640133267,-0.0001866357822327
A036,-0.153269267584117,0.0405408579603918,-0.1227342111226398,-9.793933427578446e-05,-0.0007273782716353,-0.000180865954607
A037,0.3905517585884466,0.1074351832157855,0.1584048771279897,0.0002495433290589,-0.0002769364734348,0.0002334211086701
A038,0.4104908613247562,-0.0169318997414048,0.2110703828551282,0.0002622925413774,-0.0001944423089393,0.0003110280758326
A039,0.5783823963836218,0.3350194904582702,0.6523629868096493,0.0003695610461855,0.000646027866119,0.0009613481136689
A040,-0.562622294969077,-0.5853054908458177,-0.4405929116690418,-0.0003594845462936,0.0019098718898646,-0.0006492684956239
A041,-0.0073845420082551,0.2320413287351289,0.2491178201722306,-4.715992786373063e-06,-0.000431458582622,0.0003671114301069
A042,-0.4306730582464669,-0.6660961562869564,-0.435081554386718,-0.000275180619799,0.001940132909064,-0.0006411367541982
A043,0.168536261382333,-0.0647675544503023,-0.0732224754234631,0.0001076889231772,0.0010150059989194,-0.000107900173354
A044,-0.2347918892592464,-0.3293335606848934,-0.514468352275163,-0.0001500262784116,0.0005677773652699,-0.0007581215654688
A045,-0.1615213219861482,-0.3664786920189681,-0.4328782166798616,-0.0001032007001476,0.0008024198308009,-0.0006378862416692
A046,-0.7733615977945255,-0.8972259888590363,-0.6073490793525902,-0.0004941495841974,0.0028325582567982,-0.00089498986528
A047,-0.3427416998292112,-0.6041081775679447,-0.4327862538079423,-0.0002190058849997,0.0018312943398307,-0.0006377603595335
A048,0.1167961136966558,0.5638424553768572,0.2388874874489824,7.463566338971276e-05,-0.0021392605234544,0.0003520273162484
A049,0.3675521857079784,0.5552495232866018,0.1957561968886435,0.0002348586289483,-0.00054986420659,0.0002884667842631
A050,-0.2996609594989932,-0.4689206470195685,-0.0660705791310971,-0.0001914662786287,0.001539806308338,-9.735960899573324e-05
A051,-0.0391122537845643,0.2463696646192888,0.0015077782164954,-2.498969730633658e-05,-0.0008490051363522,2.214173478417845e-06
A052,0.069327923097841,-0.0782216659581802,0.1527266171741581,4.4302084962917104e-05,0.0001202112089405,0.0002250516915755
A053,0.1464761159298177,0.2398739572310322,0.202465071033183,9.358462735738391e-05,-0.0015568277332154,0.0002983566463084
A054,0.4090440985717295,0.2793771255936824,0.342041735505583,0.0002613767687507,0.000518676754218,0.0005040527937596
A055,-0.3936394743331592,-0.1347550280827604,-0.0968187651159092,-0.0002515226411719,-0.0001528566712318,-0.0001426779754334
A056,-0.129475359268861,0.1511833325285844,0.0096037950534501,-8.273720067597646e-05,-0.0015720144806321,1.4142200091998896e-05
A057,-0.5497567593015672,-0.3506031297755869,-0.2659293320570759,-0.0003512765355109,0.0009477402994566,-0.0003918783138806
A058,-0.1676527198678968,0.0841663941353951,0.0641577398896396,-0.000107126024633,-0.0011422108792998,9.454368626229958e-05
A059,0.5986832200565144,0.1678441340511005,0.507072484608286,0.0003825392167263,0.0004119435276152,0.000747230722383
A060,0.0858034890411073,0.0624794140134243,0.0743359928684353,5.483460446465261e-05,0.000716239468795,0.0001095510854603
A061,0.3041461250795618,0.4608957571453946,0.3526860736643036,0.0001943225981096,-0.001873214669994,0.000519708255076
