UID,Common_Intercept_z,Common_Slope_z,Congruent_Intercept_z,Congruent_Slope_z,Incongruent_Intercept_z,Incongruent_Slope_z
A010,0.41912714424482495,1.4769689729403572,0.9086677512549871,0.4190868931941944,-1.562125329459588,0.908670582245398
A011,-0.033017311064161226,-0.23664746637749196,-0.043049427813502926,-0.03304663019227489,0.15577184232948726,-0.04305203607878288
A012,0.7193506443784284,-0.1240517708893767,0.5554463936255878,0.7194339184813177,0.07297411588171455,0.5554581506799285
A013,-0.8542565996962999,-0.11508315610979475,-0.3976408259798584,-0.8542148688957404,0.06262121859555872,-0.3976351823467525
A014,0.48830334641628015,-0.04134578298892123,0.024692594630967464,0.4882746187649069,-0.11877527204087887,0.02467777643771141
A015,1.5402165556317255,1.836344982565312,1.7792124429808722,1.540165469703322,-1.6941177965106948,1.7792042176694933
A016,0.5426222299262542,0.7492315233774125,1.159029648098887,0.5425647087742959,-2.1202863732211985,1.1590098804181312
A017,0.5137190521301828,-0.8764973034395073,1.0768069504458386,0.513761000302071,1.3031718100600775,1.0768292553966197
A018,0.20904742787769504,0.6997031524974888,0.6741950889841264,0.20905721240304584,-0.7566232514726655,0.674196941398137
A019,-1.132635990528748,-1.8151320665614428,-0.7328971558161357,-1.132591509549046,1.4703986602414414,-0.7328739726487805
A020,-0.5081046682006213,-1.3493812069027147,-1.3757099401654187,-0.5081724617816772,-0.28631308786336657,-1.3757280126362543
A021,1.098465933917308,1.2728579237764488,0.6660522198621223,1.098498669558836,-1.3351299709095108,0.6660670081241805
A022,0.16514297346596182,1.009037822582021,1.0042903363549225,0.16520352917087247,0.12870244004449352,1.0042974620045504
A023,0.5572528244796568,-0.4127899398632387,0.08479708665305995,0.5572916743999643,1.4892606670809558,0.08479087132427003
A024,-0.061173836435376265,0.14389688935521672,-0.9048295248242325,-0.06119209111323932,-0.4651109148140654,-0.9048405825283351
A025,0.7893770037265423,1.275568044413242,0.13472318464347516,0.7893209187425261,-1.455005181744317,0.1346975822454546
A026,0.0473064569560955,1.074752186601919,0.29099534889617346,0.0473304822552047,-0.7355436682753832,0.2909812790332578
A027,-0.11766462100520513,-0.1790378950689675,0.21428954160068084,-0.1176668298927856,0.07902079590776044,0.2142828130962727
A028,0.08497074784941672,0.20990146724412043,0.589118978505813,0.08492082382415356,-0.24612908716706589,0.5890989262070885
A029,1.7280789471912845,1.1605093994454205,1.7195902640622016,1.7280706769080805,-0.2557759952304573,1.7195746719393692
A030,0.6742950022478035,0.6513556595505529,0.8035571267661966,0.6743222346147659,0.2202279329303078,0.8035729355822129
A031,0.48885285586163874,-0.4938141397098422,-0.5331596602511642,0.4887908209208114,0.16505597992187673,-0.5331820216543688
A032,1.226505131713195,0.7598646671568834,0.5403038168940242,1.2265782887608465,1.1823894113575197,0.5403309209930449
A033,-0.08677305216167301,0.21363915840308315,0.44818455876066227,-0.08671205172047666,0.40318380558835426,0.4481879363737119
A034,0.8953028839892094,0.9374006734408953,1.4444844671777883,0.8952695930390477,-0.8977452766435183,1.4444704063254006
A035,-0.45065105531361793,-0.4358645474198711,-0.3997740738140665,-0.4506443761373087,0.620900017789515,-0.3997790167763489
A036,-0.46782935589008373,0.11430172189240483,-0.38741304227404344,-0.46785570906664947,-0.5983713767797091,-0.38741988613388906
A037,1.1920953270159598,0.30290494703855847,0.5000082275176941,1.1920672324662558,-0.22781936902947234,0.4999944823155577
A038,1.2529561749679794,-0.04773814351050222,0.6662479711884024,1.252970155826115,-0.15995626573043242,0.6662307562822465
A039,1.7654176093053198,0.944560785178952,2.0591970818503444,1.7653912657777173,0.5314491768067169,2.0592342961502514
A040,-1.7173124789699796,-1.650222240045285,-1.3907405176828571,-1.7172558762868049,1.5711394150416957,-1.3907511073132608
A041,-0.022540105956766483,0.6542220554517898,0.7863454835847028,-0.02252827390886689,-0.35493563139647283,0.7863628550742522
A042,-1.3145590281371087,-1.8780050901708876,-1.3733438059406762,-1.314536441864529,1.59603337795922,-1.373332691868183
A043,0.5144293559265203,-0.1826069641560684,-0.2311282380614513,0.514429446394151,0.8349858123306313,-0.2311251609815803
A044,-0.716663816900458,-0.9285297587933906,-1.623929853669691,-0.7166747801985728,0.4670770863103794,-1.623917398980894
A045,-0.49301740145540635,-1.0332574997689836,-1.3663889255013706,-0.4929892274718917,0.6601036594510806,-1.3663700039670883
A046,-2.3605597121274786,-2.529657254747732,-1.9171097642794557,-2.3605500875540164,2.3301792891317765,-1.9170930894717808
