term,estimate,se,z,p_uncorrected,p_bonferroni,CI_lower,CI_upper
TSVR_hours:Age_c:domain[T.When],-5.449747593940232e-05,0.0001023058334478,-0.5326917742883831,0.5942469611616981,1.0,-0.0002550132249055,0.0001460182730267
TSVR_hours:Age_c:domain[T.Where],-6.181251672687095e-05,0.0001023058334478,-0.6041934720991495,0.5457150204732468,1.0,-0.000262328265693,0.0001387032322393
log_TSVR:Age_c:domain[T.When],-0.0004226736206032,0.0035820726426197,-0.11799694276834,0.9060700802781404,1.0,-0.007443406990144,0.0065980597489375
log_TSVR:Age_c:domain[T.Where],0.0024606579210731,0.0035820726426196,0.6869369123886985,0.4921224848012023,0.9842449696024046,-0.0045600754484676,0.009481391290614
