model,R_squared,adj_R_squared,F_stat,p_value,ci_lower,ci_upper,cohens_f2
Demographics,0.02027563068317262,-0.010340755857978223,0.662247671060742,0.577268338748554,0.0037611926138195915,0.14670626908475612,0.020695239720648205
Cognitive,0.18754116749762073,0.13512446862649952,3.5778897095128914,0.003105078035913548,0.11808306092528127,0.3856565887269033,0.23083159416212207
