test,observed_f2,power_observed,min_detectable_f2,power_80,alpha_used
Overall_Model,0.230831594162122,0.9570755441568376,0.1456419982910156,0.8,0.05
RAVLT_T,0.0029585764510795,0.0018721800633981767,0.19432369995117188,0.8,0.0005966666666666667
BVMT_T,0.0589200097295044,0.14048995337122627,0.19432369995117188,0.8,0.0005966666666666667
RPM_T,0.0521353286146743,0.11164967723304098,0.19432369995117188,0.8,0.0005966666666666667
