predictor,beta,se,ci_lower,ci_upper,sr2,p_uncorrected,p_bonferroni,p_fdr,vif
age,0.0024992007710809136,0.002519575457627992,-0.0025041767440579614,0.0075025782862197885,0.008595397574016062,0.32381354942777296,0.32381354942777296,0.6476270988555459,1.4526722668954446
sex,-0.005943939543578525,0.06742980266627369,-0.13984616401924566,0.1279582849320886,6.78833717466798e-05,0.9299469671598843,0.9299469671598843,0.9355337723896476,1.0383372551670802
education,-0.0015353702156106,0.018930952518234467,-0.03912849007361524,0.03605774964239404,5.7464509827021004e-05,0.9355337723896476,0.9355337723896476,0.9355337723896476,1.040570616655557
RAVLT_T,0.001749540706660533,0.0033353481979016436,-0.004873799796207623,0.008372881209528688,0.002403721569313122,0.6011475214249665,1.0,0.9017212821374498,1.1976582701264682
BVMT_T,0.00944822403499625,0.0040362429870255245,0.0014330453882203577,0.01746340268177214,0.047870082315862095,0.021376965740545626,0.06413089722163688,0.09042534180462017,1.7539013643972017
RPM_T,0.007874629991210807,0.0035762067999179407,0.0007729920394578893,0.014976267942963726,0.04235780821840629,0.030141780601540054,0.09042534180462017,0.09042534180462017,1.376879101901524
