segment,domain,slope,se,CI_lower,CI_upper
Early,what,-0.4454573597835627,0.07080610586121953,-0.584237327271553,-0.30667739229557245
Early,where,-0.42220352318456034,0.07080610586121869,-0.5609834906725489,-0.28342355569657174
Early,when,-0.30144243036187274,0.07080610586121835,-0.4402223978498607,-0.16266246287388478
Late,what,-0.06857310204961242,0.028698870769381362,-0.12482288875759989,-0.012323315341624952
Late,where,-0.08238493431825797,0.02869887076938133,-0.13863472102624538,-0.02613514761027056
Late,when,-0.005558488630712635,0.02869887076938133,-0.06180827533870004,0.05069129807727477
