comparison,description,beta,se,z,p_uncorrected,alpha_corrected,p_corrected,sig_uncorrected,sig_corrected
where-what_early,Spatial consolidation advantage (Early),0.02325383659900243,0.10013495520776108,0.23222496630427528,0.8163632874275835,0.008333333333333333,1.0,False,False
when-what_early,Temporal consolidation (Early),0.14401492942169003,0.10013495520776088,1.4382083571404871,0.15037494471415247,0.008333333333333333,0.9022496682849148,False,False
where-what_late,Spatial decay comparison (Late),-0.013811832268645505,0.040586332266851814,-0.34030747537949074,0.7336249882211181,0.008333333333333333,1.0,False,False
when-what_late,Temporal decay comparison (Late),0.0630146134188998,0.040586332266851814,1.5526067495969795,0.12051711217298644,0.008333333333333333,0.7231026730379186,False,False
where_slope_change-what_slope_change,Spatial consolidation benefit,-0.037065668867647894,0.10804748780668441,-0.34304979801071145,0.7315609972726935,0.008333333333333333,1.0,False,False
when_slope_change-what_slope_change,Temporal consolidation benefit,-0.08100031600279023,0.1080474878066842,-0.7496732931700728,0.45345149617082714,0.008333333333333333,1.0,False,False
