domain,point_estimate,bootstrap_median,ci_lower,ci_upper,ci_width,ci_width_percent,bootstrap_p
overall,119.78899142391388,119.54914606108075,41.85278945459266,620.8266967187191,578.9739072641264,484.2978192151316,0.017
what,107.98158907841324,107.98158907841324,41.99404131462456,437.6219679126698,395.62792659804524,366.38461239049855,0.009
