iteration,overall_attenuation,what_attenuation,overall_beta_biv,overall_beta_ctrl,what_beta_biv,what_beta_ctrl
0,122.48027259896084,96.16751805354154,-0.08994607594418229,0.02022012306432051,-0.1092573652063975,-0.004187268796711376
1,78.62880416589071,50.53573035815266,-0.09130300196259354,-0.019512543351846507,-0.10634672517705887,-0.05260363089685475
2,155.3306367322969,140.03048287563809,-0.10770841557952077,0.059595752154417314,-0.121997483702721,0.04883618182232708
3,70.05697691617499,69.42622769782902,-0.19792225754894816,-0.059263907265909126,-0.19448636210355186,-0.05946181750831569
4,48.74258380422322,46.481240021793035,-0.2551254687815193,-0.1307707233547699,-0.2620332230712612,-0.1402369317186679
5,297.96000641231564,164.1892484434531,-0.06181836795473876,0.12237564516718973,-0.10532886098458723,0.06760980426005604
6,96.96920006414993,95.14663743864826,-0.15600305937605893,-0.004728140623493739,-0.1577043773548243,-0.0076539652081519145
7,76.61653254129347,64.49025833438897,-0.2682204360945655,-0.06271923839177346,-0.28471115586576534,-0.1011001959411084
8,64.8544603599994,60.01180897293512,-0.25713130769734777,-0.09037018567362329,-0.26577857002130106,-0.10628004228911925
9,151.19230675961248,131.2040383870645,-0.12459276052348009,0.0637819081674493,-0.14731709566272763,0.045968883081306075
10,81.46927193615772,69.16105929874927,-0.1154641890301047,-0.021396354880289504,-0.14490380614690207,-0.04468679885149846
11,644.6502269689265,677.9612973746453,-0.01884887106309951,0.1026604190262518,-0.018276663829340633,0.10563204338485964
12,937.1719716308986,348.9089928155536,-0.015388430779948795,0.1288276293635534,-0.03758277109834127,0.0935468970130562
13,69.49030348414513,72.98239093310885,-0.21258189764590238,-0.06485809181941005,-0.19838665197282945,-0.05359933007091298
14,69.1438417353848,56.62415869614475,-0.29058324156918547,-0.089662824909037,-0.3010324552874023,-0.13057536007856266
15,104.63190650373164,109.01202207327279,-0.21643982698423556,0.010025290422748336,-0.20650678614628035,0.018610437150309005
16,85.32397295003464,72.36638216926113,-0.14972182029012987,-0.02197321484547997,-0.16407673916193852,-0.045340339049148345
17,63.55567051233657,60.81438636654936,-0.22541291319975285,-0.08215022479425871,-0.23114114390031917,-0.09057407559671724
18,97.6504290841509,78.8763678620602,-0.15896388990666696,-0.003734969323949416,-0.17891193510394693,-0.037792699022227316
19,213.8562863177801,211.21488664068892,-0.06973222266670154,0.07939451909515167,-0.06410445291635383,0.07129369464255673
20,49.76648728489364,57.06761682151221,-0.13845117972833898,-0.06954889097304992,-0.14612474065491785,-0.06273483357654086
21,131.32796921868976,120.65979698808135,-0.14220555768181026,0.04455011333782364,-0.1503825723233944,0.031068734147467914
22,97.1291037523159,88.33272353342272,-0.13955681403986703,-0.004006531337658023,-0.15102558698081872,-0.017620572768323267
23,107.647589290817,85.94528608379082,-0.11838358087407376,0.009053490053011327,-0.1384104689909428,-0.019453195446760434
24,1789.7249178279114,919.9257292371884,-0.012199162278635746,0.20613228478837142,-0.02344549443193794,0.19223564119433156
25,72.97307588587358,71.72040628873303,-0.2006779126562132,-0.05423706716740765,-0.19503825723645504,-0.055156026728005236
26,116.1610121636775,112.96997395342325,-0.1609661961519294,0.026013766539522275,-0.15452648578826791,0.020042044957878653
27,123.1053087293163,108.99872924406424,-0.10331896628723018,0.02387216613660276,-0.1135257009665187,0.010215870452403044
28,161.51560076880708,133.05853931638987,-0.13788541889207448,0.08482104380404581,-0.1488569006601469,0.04920991702989408
