domain,beta_bivariate,beta_controlled,attenuation_ratio,attenuation_percent,classification
overall,-0.1302,0.0258,1.1981566820276497,119.81566820276497,suppression
what,-0.1302,0.0258,1.1981566820276497,119.81566820276497,suppression
