variable_pair,r,p_uncorrected,p_bonferroni,ci_lower,ci_upper,n_bootstrap,interpretation
Age_RAVLT,-0.29190913793164197,0.0032102125196657233,0.0064204250393314465,-0.4536279348309473,-0.09815818214062058,1000,Significant decline
Age_REMEMVR,-0.19328923000638867,0.054004170721372896,0.10800834144274579,-0.37481491368790926,-0.015329019666512437,1000,Age-invariant
