age_group,variable_pair,r,ci_lower,ci_upper,n_participants,median_split
younger_adults,Age_RAVLT,-0.22527491899315472,-0.4408785523651403,0.05640866296881681,50,44.5
younger_adults,Age_REMEMVR,-0.19214344704561015,-0.4365207767533505,0.13072005102963632,50,44.5
older_adults,Age_RAVLT,-0.47262103997291555,-0.6602547843276304,-0.25002901119487475,50,44.5
older_adults,Age_REMEMVR,-0.04772174335266893,-0.36097843353367426,0.20092416251526576,50,44.5
