variable_pair,rs,ci_lower,ci_upper,n_participants,method
Age_RAVLT,-0.26079213180021005,-0.4398697945606557,-0.06934297057825861,100,spearman_rank
Age_REMEMVR,-0.18793656385232796,-0.3755068925276028,0.00041188911019440034,100,spearman_rank
