variable_pair,r,ci_lower,ci_upper,n_participants,method
Age_RAVLT,-0.35292299765513596,-0.48129376904469867,-0.11850367413228065,86,outliers_excluded
Age_REMEMVR,-0.16533562640780614,-0.3748159872262861,0.054393596810746764,86,outliers_excluded
