predictor,beta,beta_ci_lower,beta_ci_upper,sr2,sr2_ci_lower,sr2_ci_upper,importance_rank
RPM_T,0.235215834281298,0.09730297666152704,0.37312869190106895,0.09085010322430584,0.040850103224305837,0.14085010322430586,1
BVMT_T,0.11708482861503378,-0.040365389120659845,0.2745350463507274,0.017270962822082042,0.0,0.06727096282208204,2
RAVLT_T,0.08041971456073792,-0.04839584677019089,0.20923527589166674,0.012172792672421523,0.0,0.062172792672421526,3
Age,0.025762530558198545,-0.11752460522074004,0.16904966633713714,0.0010096351644383883,0.0,0.05100963516443839,4
