age,theta_all,cognitive_composite,participant_id
20.0,-1.13018943,-0.15164684525064367,A019
21.0,0.0718020799999999,1.2466573709077262,A011
21.0,0.1132578215,0.9283387457932474,A016
21.0,0.3549183125,0.33175381354922323,A012
22.0,-0.16506315,-0.04227303816184877,A013
22.0,0.6169010075,0.830900653545466,A014
22.0,0.97076143875,0.38295437683829886,A010
23.0,1.559498015,0.45112329796715267,A015
23.0,-0.10452744725,0.9667135161119261,A018
24.0,0.3353329775,-0.10902690147007155,A017
25.0,1.023111325,0.9252461403063611,A029
26.0,-0.91300866125,0.689862266803012,A020
26.0,0.346842675,0.41991408933634644,A025
26.0,0.13347564975,-0.444416493016841,A023
26.0,0.12858346,0.3269836603960823,A028
28.0,0.79059709,1.1804284872907511,A021
28.0,-0.0578756749999999,1.1256103388235417,A027
28.0,0.1149351101,-0.2161981812013638,A022
29.0,-0.0451315824999999,0.41159595967346646,A024
29.0,0.406870533,-0.05588630066911715,A026
30.0,-0.0578950324999999,0.292226475255537,A036
31.0,0.435349075,0.29028643774365853,A030
31.0,0.6399919475,1.259745653723747,A037
31.0,1.19202671,0.8092317512209415,A039
32.0,0.4143596645,0.29054892758928225,A031
32.0,0.375180925,0.318928020578826,A033
32.0,0.496686178,0.8080791832459341,A038
33.0,0.7238456824999999,0.5557269519028067,A032
33.0,0.609261065,1.2864471990470363,A034
34.0,-0.2020014674999999,0.8487590895146276,A035
35.0,0.109736675,-0.22839638588800124,A041
35.0,0.4953288965,0.11971639003665309,A049
36.0,-1.026090325,-1.9740259084341538,A047
37.0,-1.07199485,-0.814723150957267,A045
38.0,-0.9150132425,-0.663881968062907,A040
38.0,-0.8263051475000001,-0.3369827234399247,A042
38.0,-0.891856265,0.5409611214205309,A044
38.0,0.4509235725,0.10327301188812227,A043
38.0,-1.212762325,-0.43185318989206783,A046
38.0,0.3138050999999999,0.6367216660020574,A048
40.0,-0.51205133,0.542376179241162,A057
41.0,-0.79420681,-0.10902690147007155,A050
41.0,-0.0391735974999999,-0.47802111018237853,A051
42.0,-0.0719488624999999,0.0222782977888716,A056
42.0,-0.252483834,-0.16022746475914718,A058
43.0,1.0196071075,0.6069275151918824,A054
43.0,0.98987943,0.8223200340369624,A059
43.0,0.063437571,0.6353066081814265,A052
44.0,0.1025602984999999,-0.9630993166485005,A055
44.0,0.4583046074999999,0.2359932689676966,A053
45.0,0.293277165,0.5559894417484306,A063
46.0,-1.1793972825,-0.5242586391410845,A069
47.0,-1.953673875,-0.8287015119026712,A065
47.0,0.3092835674999999,0.6765114941413671,A064
47.0,-0.5499262325000001,-0.6650345360379145,A066
47.0,0.86492765,-0.2471448999865465,A061
48.0,0.0901919849999999,0.6634232113253468,A062
48.0,0.235626169,-0.08541796163366862,A060
48.0,-0.82512955,0.2910739072805298,A067
49.0,0.373907925,0.7694419230816317,A068
50.0,0.1962569325,0.8225825238825862,A071
50.0,0.0778722249999999,0.8223200340369624,A072
50.0,-0.49878498,-0.7477067978034205,A078
50.0,-0.4405461125,0.9533627434502819,A079
51.0,0.3363469595,-0.3088661202960044,A073
52.0,-0.2106950642499999,-0.01609647252980717,A070
52.0,0.4862645825,-0.5319491805202042,A077
53.0,-0.2549865725,0.6884472089823811,A074
53.0,-0.291115765,-0.4003814914156376,A075
54.0,-1.220826245,-1.7850724450667392,A076
55.0,0.3615143925,-0.7382361001655332,A081
56.0,0.0535464749999999,-0.11159452726570995,A080
56.0,1.55795242,-0.5740441446095289,A088
56.0,0.865113,0.292226475255537,A089
58.0,0.4909304,0.8061391457340555,A082
58.0,0.7502973374999999,0.17170442286260004,A083
58.0,-0.4303362599999999,0.6503349285093258,A086
58.0,0.3393542224999999,-0.30745106247537346,A085
59.0,-0.0109190895,-1.0776986479132888,A084
59.0,0.5806797050000001,0.19452589316213173,A087
60.0,-0.7275689125,-1.175661719852318,A092
60.0,-0.93752057,-1.0941420260618198,A094
60.0,-1.325941315,-0.7215302321713789,A096
60.0,0.3544507249999999,0.2777231346188853,A098
61.0,-0.0134618175,-0.09541363896280337,A095
61.0,-0.752913545,-0.7493843454696753,A090
63.0,0.7514367825,-0.2793344593314529,A099
63.0,-0.373098455,-0.20116986087346467,A091
64.0,0.142418974,-1.7936530645752429,A097
64.0,0.48446266,0.22432004397230698,A093
66.0,0.2622341625,-1.7962206903708813,A100
66.0,0.0595906425,-0.45493715003722285,A104
66.0,0.6701173435000001,0.650072438663702,A106
68.0,-0.4859907875,-1.1873349448477077,A103
68.0,0.28618012,-0.8768094697048608,A105
68.0,0.0113364885,0.7677643754153768,A102
68.0,-0.720264555,-1.2908886394008665,A109
69.0,-1.1029622375,-1.023667968982951,A101
69.0,-0.7731268499999999,-1.4010499160265326,A108
70.0,-1.15600219,-1.2513613011071805,A107
