UID,calibration,trajectory_variability
A010,-1.741004908149661,0.7928479825631385
A011,0.7232199602662381,0.4004377357917579
A012,-0.3448481027186614,0.743251691529643
A013,-0.009272941595958,0.41634824662110553
A014,0.1401866807515077,0.8986073295096798
A015,-0.0200735585169096,0.5418843275557215
A016,-0.7175280163007901,0.6353072393131217
A017,1.2058986635213604,0.8707766239101089
A018,0.8111769277623007,0.3539199744127438
A019,-2.702740145332338,0.1641923554000846
A020,1.0427397793340696,0.7232562881715802
A021,-0.7049652792612813,0.2085862093375073
A022,-0.5203308470630956,0.5000755862402131
A023,-0.5969930330490696,0.3480166353367367
A024,-0.0524131576627602,0.4349055017281477
A025,-0.0188715971903561,1.0711270115037963
A026,-0.486411642411937,0.43640284545397034
A027,-0.0524073810522454,0.495346433971418
A028,0.0833576388448724,0.5588818537794719
A029,0.0327038746937098,0.4511384070459583
A030,-0.1902311486449101,0.7361646387497696
A031,-0.310313301648327,0.7860243329568702
A032,-0.1778626861824823,0.8430078143307836
A033,0.2820909532213313,0.6808209978417016
A034,-0.5228605475824066,0.5638939030007055
A035,0.559175971040144,0.7781207859917562
A036,-2.8638771678101325,0.5401829755383403
A037,0.0186901884404075,0.5042051135961488
A038,-0.3779869675249995,0.4914322874436866
A039,-0.5066618853793345,0.2933408572275351
A040,0.6234303443065884,0.785586490693348
A041,0.2289407062837787,0.7664186615441286
A042,0.5588315027004311,0.6842953584247148
A043,1.0682669245308178,0.37936270165834474
A044,-0.9102783751764528,0.5398045328793928
A045,0.4077932545265129,0.3499192374304261
A046,0.7559131233985893,0.28115541140663786
A047,0.9242581707211228,0.44810791757608276
A048,-0.3583215500364149,0.18550223636074595
A049,-0.7205883122737056,0.7533823287280008
A050,1.1244117313655746,0.22138646009430496
A051,-0.4557197519622262,0.5952917937065642
A052,-0.0835438632511342,0.4711329984996816
A053,-0.4180965795388685,0.5589081093118818
A054,1.0118212124680213,0.7973934654067645
A055,0.6768845533808683,0.618552892627557
A056,-0.8728015525067573,0.5542351482581599
A057,-0.143428243130111,0.2527381780750709
A058,0.0101553158196574,0.5671355717934147
A059,-0.7479512695607464,0.599006200257567
A060,0.3650945133545552,0.9387944316586604
A061,-0.0726014106015484,0.7709892128237016
A062,-0.6054532722546289,0.5808841143497677
A063,-2.2694593246289005,0.44508607505522413
A064,0.2458453645394963,0.3273214042488088
A065,2.011685124399882,0.8602557025416147
A066,-0.5898091720962972,0.3207900980322447
A067,-0.3631384630687159,0.5496915102928732
A068,0.4742616771584744,0.3396551477209538
A069,0.5921532273597412,0.49092844136541125
A070,-0.3150595114227973,0.3628992413518264
A071,0.1485349656957695,0.5371945641017577
A072,0.2579207055402199,0.4929349613681138
A073,-1.1852665042492538,0.6567872960588733
A074,0.0232697725229749,0.5673874857084773
A075,-0.2422833748110246,0.7847654302037956
A076,-0.1688127156235882,0.671691013002341
A077,-0.3372789760596821,0.35156726952486306
A078,-0.78276064174706,0.4613445811558609
A079,-0.2612554312177284,0.2279343847488842
A080,0.8666064968916687,0.5419423499691483
A081,0.2771790908497432,0.6278611110542983
A082,0.4526385750728861,0.6424422483922188
A083,-0.5458211853814092,0.4351793711302734
A084,-2.319448678013727,0.3508070970200304
A085,0.1110414200082391,1.0040043231164761
A086,0.3281290940622613,0.48637249687169326
A087,0.0129186290014353,0.5082684450812028
A088,-1.24833288917789,0.8383068606827239
A089,-0.4594871838921148,0.18058387278910035
A090,-2.637531370335712,0.38820453154518214
A091,0.1258927610272768,0.3450696941945149
A092,0.934360696376246,0.38742820622120255
A093,0.7264601485838075,0.49870738261998465
A094,0.5388724867649658,0.6289641126337177
A095,-0.348583789081418,0.5788581107166264
A096,1.3664905173516504,0.36343303197836013
A097,-0.6089160745840848,0.7278383697803535
A098,0.1010415055157935,0.7915799927009464
A099,-0.3315797055651917,0.623579094049115
A100,0.2357992620970575,0.7281884060838419
A101,0.1367917932393911,0.5075260196326371
A102,0.4490118507797244,0.8293120241801967
A103,-2.848860012978075,1.0856506864150708
A104,-0.5496133138576185,1.0716165432345799
A105,1.3892303556956418,0.36597783878738815
A106,-0.1810219148769269,0.48024527064507183
A107,0.8975911801569717,0.3548971943764388
A108,0.3670093485903982,0.4694583076994839
A109,-0.4238597303989112,0.496986531926382
