UID,calibration
A010,-1.741004908149661
A011,0.7232199602662381
A012,-0.3448481027186614
A013,-0.009272941595958
A014,0.1401866807515077
A015,-0.0200735585169096
A016,-0.7175280163007901
A017,1.2058986635213604
A018,0.8111769277623007
A019,-2.702740145332338
A020,1.0427397793340696
A021,-0.7049652792612813
A022,-0.5203308470630956
A023,-0.5969930330490696
A024,-0.0524131576627602
A025,-0.0188715971903561
A026,-0.486411642411937
A027,-0.0524073810522454
A028,0.0833576388448724
A029,0.0327038746937098
A030,-0.1902311486449101
A031,-0.310313301648327
A032,-0.1778626861824823
A033,0.2820909532213313
A034,-0.5228605475824066
A035,0.559175971040144
A036,-2.8638771678101325
A037,0.0186901884404075
A038,-0.3779869675249995
A039,-0.5066618853793345
A040,0.6234303443065884
A041,0.2289407062837787
A042,0.5588315027004311
A043,1.0682669245308178
A044,-0.9102783751764528
A045,0.4077932545265129
A046,0.7559131233985893
A047,0.9242581707211228
A048,-0.3583215500364149
A049,-0.7205883122737056
A050,1.1244117313655746
A051,-0.4557197519622262
A052,-0.0835438632511342
A053,-0.4180965795388685
A054,1.0118212124680213
A055,0.6768845533808683
A056,-0.8728015525067573
A057,-0.143428243130111
A058,0.0101553158196574
A059,-0.7479512695607464
A060,0.3650945133545552
A061,-0.0726014106015484
A062,-0.6054532722546289
A063,-2.2694593246289005
A064,0.2458453645394963
A065,2.011685124399882
A066,-0.5898091720962972
A067,-0.3631384630687159
A068,0.4742616771584744
A069,0.5921532273597412
A070,-0.3150595114227973
A071,0.1485349656957695
A072,0.2579207055402199
A073,-1.1852665042492538
A074,0.0232697725229749
A075,-0.2422833748110246
A076,-0.1688127156235882
A077,-0.3372789760596821
A078,-0.78276064174706
A079,-0.2612554312177284
A080,0.8666064968916687
A081,0.2771790908497432
A082,0.4526385750728861
A083,-0.5458211853814092
A084,-2.319448678013727
A085,0.1110414200082391
A086,0.3281290940622613
A087,0.0129186290014353
A088,-1.24833288917789
A089,-0.4594871838921148
A090,-2.637531370335712
A091,0.1258927610272768
A092,0.934360696376246
A093,0.7264601485838075
A094,0.5388724867649658
A095,-0.348583789081418
A096,1.3664905173516504
A097,-0.6089160745840848
A098,0.1010415055157935
A099,-0.3315797055651917
A100,0.2357992620970575
A101,0.1367917932393911
A102,0.4490118507797244
A103,-2.848860012978075
A104,-0.5496133138576185
A105,1.3892303556956418
A106,-0.1810219148769269
A107,0.8975911801569717
A108,0.3670093485903982
A109,-0.4238597303989112
