UID,trajectory_variability
A010,0.7928479825631385
A011,0.4004377357917579
A012,0.743251691529643
A013,0.41634824662110553
A014,0.8986073295096798
A015,0.5418843275557215
A016,0.6353072393131217
A017,0.8707766239101089
A018,0.3539199744127438
A019,0.1641923554000846
A020,0.7232562881715802
A021,0.2085862093375073
A022,0.5000755862402131
A023,0.3480166353367367
A024,0.4349055017281477
A025,1.0711270115037963
A026,0.43640284545397034
A027,0.495346433971418
A028,0.5588818537794719
A029,0.4511384070459583
A030,0.7361646387497696
A031,0.7860243329568702
A032,0.8430078143307836
A033,0.6808209978417016
A034,0.5638939030007055
A035,0.7781207859917562
A036,0.5401829755383403
A037,0.5042051135961488
A038,0.4914322874436866
A039,0.2933408572275351
A040,0.785586490693348
A041,0.7664186615441286
A042,0.6842953584247148
A043,0.37936270165834474
A044,0.5398045328793928
A045,0.3499192374304261
A046,0.28115541140663786
A047,0.44810791757608276
A048,0.18550223636074595
A049,0.7533823287280008
A050,0.22138646009430496
A051,0.5952917937065642
A052,0.4711329984996816
A053,0.5589081093118818
A054,0.7973934654067645
A055,0.618552892627557
A056,0.5542351482581599
A057,0.2527381780750709
A058,0.5671355717934147
A059,0.599006200257567
A060,0.9387944316586604
A061,0.7709892128237016
A062,0.5808841143497677
A063,0.44508607505522413
A064,0.3273214042488088
A065,0.8602557025416147
A066,0.3207900980322447
A067,0.5496915102928732
A068,0.3396551477209538
A069,0.49092844136541125
A070,0.3628992413518264
A071,0.5371945641017577
A072,0.4929349613681138
A073,0.6567872960588733
A074,0.5673874857084773
A075,0.7847654302037956
A076,0.671691013002341
A077,0.35156726952486306
A078,0.4613445811558609
A079,0.2279343847488842
A080,0.5419423499691483
A081,0.6278611110542983
A082,0.6424422483922188
A083,0.4351793711302734
A084,0.3508070970200304
A085,1.0040043231164761
A086,0.48637249687169326
A087,0.5082684450812028
A088,0.8383068606827239
A089,0.18058387278910035
A090,0.38820453154518214
A091,0.3450696941945149
A092,0.38742820622120255
A093,0.49870738261998465
A094,0.6289641126337177
A095,0.5788581107166264
A096,0.36343303197836013
A097,0.7278383697803535
A098,0.7915799927009464
A099,0.623579094049115
A100,0.7281884060838419
A101,0.5075260196326371
A102,0.8293120241801967
A103,1.0856506864150708
A104,1.0716165432345799
A105,0.36597783878738815
A106,0.48024527064507183
A107,0.3548971943764388
A108,0.4694583076994839
A109,0.496986531926382
