UID,HCE_rate_mean,z_baseline_accuracy,z_baseline_confidence,z_Age,z_confidence_bias
A010,0.0034722222222222,2.346453483849118,0.5757660751348453,-1.5481049000156297,-1.906082685596257
A011,0.03124999999999995,0.3803942557145605,1.2175184508494123,-1.6166961671851303,0.901134737948386
A012,0.04513888888888885,0.9652332814179863,0.685034718099961,-1.6166961671851303,-0.3016238933201884
A013,0.04166666666666665,-0.4571222170361975,-0.3261259220947915,-1.5481049000156297,0.14101290178958145
A014,0.0694444444444444,0.34779837262604835,0.5920872928995194,-1.5481049000156297,0.2629684262307897
A015,0.024305555555555476,1.2827368692601786,1.3182372747259035,-1.4795136328461291,0.03821493723671906
A016,0.055555555555555504,0.8240236734435831,0.17072481917102283,-1.6166961671851303,-0.7032532272610393
A017,0.1284722222222222,-0.8868402870788336,0.5039223847982405,-1.4109223656766283,1.4971070758126357
A018,0.020833333333333273,-0.35948438223181595,0.6032414527492451,-1.4795136328461291,1.036340483364057
A019,0.013888888888888826,-1.252094776857697,-3.8285581502981003,-1.685287434354631,-2.7734721566431673
A020,0.06597222222222217,-0.7917094493744397,0.42808898327103995,-1.2737398313376271,1.313070088452964
A021,0.0416666666666666,0.8009292259887233,0.16155984325792982,-1.1365572969986257,-0.6882586413196696
A022,0.006944444444444425,-0.6340443778617321,-1.015494313122387,-1.1365572969986257,-0.4106174322152602
A023,0.03819444444444437,0.25041114047804813,-0.25214549036513484,-1.2737398313376271,-0.5409845283066307
A024,0.04513888888888885,-0.3713762654897847,-0.2885262446469407,-1.0679660298291251,0.08918513197340769
A025,0.010416666666666624,0.3842640161432556,0.4646180496582351,-1.2737398313376271,0.08649828944790246
A026,0.03819444444444437,0.4498004759047199,0.050302558760128804,-1.0679660298291251,-0.4300454496110041
A027,0.055555555555555525,0.3591016569103639,0.4064868970936261,-1.1365572969986257,0.051008543586876794
A028,0.017361111111111025,1.0334517583028748,1.1865078729693923,-1.2737398313376271,0.16475952144614833
A029,0.0416666666666666,1.181716085891104,1.2759298847580431,-1.3423310985071277,0.10141783912888182
A030,0.020833333333333277,-0.3710100611913058,-0.4286869620210033,-0.9307834954901238,-0.06208715411274436
A031,0.04861111111111108,1.8106424835260746,1.5246015539485407,-0.8621922283206233,-0.30791299500767777
A032,0.024305555555555476,0.16581092107455297,0.09467695583965473,-0.7936009611511226,-0.07657321039544641
A033,0.027777777777777724,-0.25762159346153635,0.1607406246354122,-0.8621922283206233,0.4503522057579143
A034,0.09722222222222218,1.5610922061941241,1.0704713611702823,-0.7936009611511226,-0.528136074888333
A035,0.03472222222222215,-0.8234717326996077,-0.09513725831814991,-0.7250096939816218,0.7840264318304443
A036,0.0,0.7579216464967431,-2.080427960914321,-0.9993747626596245,-3.055383471825527
A037,0.031249999999999924,0.5896601872492881,0.6983358071038337,-0.9307834954901238,0.11698548051550288
A038,0.12152777777777775,0.6189593689526689,0.3217892708506659,-0.8621922283206233,-0.31989315329263257
A039,0.0277777777777777,1.7186001246300429,1.2368459542828443,-0.9307834954901238,-0.5185914116141777
A040,0.04513888888888885,-1.3253453759691152,-0.5071317791433982,-0.4506446253036193,0.8807781443260928
