predictor,coefficient,SE,t_value,p_uncorrected,p_bonferroni,sig_uncorrected,sig_bonferroni
Intercept,0.0417708333333333,0.003217799599537052,12.981179231715645,7.53026234935217e-23,7.53026234935217e-23,True,True
z_baseline_accuracy,-0.0009469545265782414,0.002149059617351182,-0.44063669473507106,0.660466680503904,1.0,False,False
z_baseline_confidence,0.008518311759852827,0.0021275056217190474,4.0038962402223595,0.00012280140632213926,0.000491205625288557,True,True
z_Age,0.002084858154568756,0.0033037307674515294,0.631061760573486,0.529499768202802,1.0,False,False
z_confidence_bias,0.010189026077857842,0.0022632773321249245,4.501890216119324,1.8930599429230756e-05,7.572239771692303e-05,True,True
