predictor,ols_coef,ols_SE,ols_t,ols_p,rlm_coef,rlm_SE,rlm_p,boot_mean,boot_SE,boot_ci_lower,boot_ci_upper,ols_rlm_diff,ols_boot_diff,ols_rlm_pct_change,ols_boot_pct_change
Intercept,0.04177083333333325,0.003217799599537052,12.98117923171563,7.530262349352547e-23,0.03752532899459043,0.0025083542409471906,1.3374568581043606e-50,0.04175256249038773,0.0032064182930481924,0.03565616156234732,0.048358914084373324,0.004245504338742823,1.8270842945519727e-05,10.16380091070603,0.04374067139077051
z_baseline_accuracy,-0.0009469545265782448,0.00214905961735118,-0.44063669473507305,0.6604666805039026,0.0002634953582359889,0.0016752450357712554,0.8750181513924113,-0.001059359518286326,0.0021769445193724067,-0.005813608454967697,0.002763111193247082,-0.0012104498848142338,0.00011240499170808108,-127.82555559326711,11.870157283502177
z_baseline_confidence,0.00851831175985282,0.002127505621719047,4.003896240222357,0.00012280140632214056,0.007598028355809392,0.0016584431639701039,4.618243778715647e-06,0.008720955529605955,0.001909914190877279,0.005532894603165904,0.012989021596170974,0.0009202834040434281,-0.0002026437697531351,10.803589138176,-2.378919385273079
z_Age,0.0020848581545687634,0.0033037307674515307,0.631061760573488,0.5294997682028006,0.0008290031209061742,0.0025753397081275703,0.7475280799214841,0.0023288921921093457,0.003459075219704802,-0.004148715148693506,0.00948699381904554,0.0012558550336625892,-0.00024403403754058237,60.23695333471514,-11.705066697501964
z_confidence_bias,0.01018902607785783,0.0022632773321249232,4.50189021611932,1.8930599429230973e-05,0.007895366672178654,0.0017642805646728172,7.636852409533022e-06,0.010528164983112596,0.002627006042729624,0.006387538319349293,0.01640700357508563,0.002293659405679176,-0.0003391389052547662,22.511076016024894,-3.3284722471342203
