term,coef,se,z,p_value
Intercept,-0.37695864018897685,0.05448268624481802,-6.918870308543759,4.552593990289227e-12
C(paradigm)[T.IFR],0.014716664028486127,0.04001530315354878,0.36777589743640293,0.7130403424211766
C(paradigm)[T.IRE],0.06596093320818855,0.04001530315354877,1.6483926900436034,0.09927211509710367
log_TSVR,-0.12352496551586788,0.00755433548074192,-16.351532948300616,4.2417331170310646e-60
C(paradigm)[T.IFR]:log_TSVR,0.007709176826177965,0.010679439300570383,0.7218709343444859,0.4703738327619832
C(paradigm)[T.IRE]:log_TSVR,-0.017220208755392333,0.010679439300570383,-1.6124637512076696,0.10686106180617552
