time,probability,CI_lower,CI_upper,paradigm,n
1.0,0.747779808096738,0.6691206643944356,0.8129664012802723,ICR,100
28.769699999999997,0.5541897218238447,0.4502309779893981,0.6536143422325217,ICR,100
78.6681,0.3941777422907641,0.30588469524036593,0.4899664611930355,ICR,100
151.3752,0.24503524161159676,0.1745503099638603,0.3325170418314753,ICR,100
1.0,0.7505248482854886,0.6798233477937955,0.8099779309194518,IFR,100
28.769699999999997,0.5639879367312721,0.4703572930482891,0.6532681425117829,IFR,100
78.6681,0.4395796125035244,0.35100470852656407,0.5321777474302931,IFR,100
151.3752,0.31612840432989575,0.23545553203012776,0.40963238509088534,IFR,100
1.0,0.7475531317961959,0.6877413166735068,0.799252391531219,IRE,100
28.769699999999997,0.5408520851955746,0.45580800698013313,0.6235813481689518,IRE,100
78.6681,0.4041364752151764,0.3293497613594841,0.4836581744309924,IRE,100
151.3752,0.2758931301230486,0.21178613854131287,0.3507695334886489,IRE,100
