time,theta,CI_lower,CI_upper,paradigm,n
1.0,-0.49429827604300003,-0.5934379862154204,-0.3951585658705796,ICR,100
28.769699999999997,-0.7195270218800001,-0.8276727656827778,-0.6113812780772223,ICR,100
78.6681,-0.887283551,-0.9882500172139304,-0.7863170847860697,ICR,100
151.3752,-1.0675003231,-1.1785210947171298,-0.95647955148287,ICR,100
1.0,-0.46377762915,-0.5625285980074358,-0.3650266602925641,IFR,100
28.769699999999997,-0.70297982281,-0.809558143653226,-0.5964015019667741,IFR,100
78.6681,-0.8447443571,-0.9500996696684842,-0.7393890445315157,IFR,100
151.3752,-0.9945919821299999,-1.109690217456768,-0.8794937468032318,IFR,100
1.0,-0.43472764116900003,-0.5277632194545614,-0.3416920628834387,IRE,100
28.769699999999997,-0.7244445694799999,-0.8316166762491246,-0.6172724627108752,IRE,100
78.6681,-0.8979396203000001,-0.9994120530536499,-0.7964671875463503,IRE,100
151.3752,-1.07917672895,-1.188945830677421,-0.9694076272225791,IRE,100
