composite_ID,theta_IFR,theta_ICR,theta_IRE
A055_T1,-0.44105968,-0.34641796,-0.30197358
A055_T2,-1.0988929,-0.8449733,-0.9049088
A055_T3,-1.0203092,-0.8875161,-0.9764265
A055_T4,-1.0667877,-0.9511834,-1.2128373
A056_T1,-0.31420812,-0.6841884,-0.81152904
A056_T2,-1.174346,-1.0123612,-1.0106566
A056_T3,-0.7553178,-0.81522804,-0.911947
A056_T4,-1.1071061,-0.9678164,-1.218811
A057_T1,-0.44993415,-0.47219247,-0.4614302
A057_T2,-0.40324292,-0.6289297,-0.75675607
A057_T3,-0.9598936,-0.7681288,-0.92119145
A057_T4,-1.2063893,-1.4144846,-1.5416766
A058_T1,-0.18412772,-0.32039756,-0.35383892
A058_T2,-0.576135,-0.6810703,-0.73525023
A058_T3,-0.59812933,-0.82691044,-0.68956923
A058_T4,-1.0615357,-1.3288743,-1.0178918
A059_T1,-0.49928817,-0.7145733,-0.6179373
A059_T2,-0.39330375,-0.598979,-0.52018887
A059_T3,-0.5375648,-0.7875939,-0.94728017
A059_T4,-0.5349155,-0.6337481,-0.91858846
A060_T1,-0.50521326,-0.8555395,-0.4562121
A060_T2,-0.4903659,-0.42013067,-0.37291336
A060_T3,-0.30055013,-0.45120722,-0.37074947
A060_T4,-0.014940523,-0.18372852,-0.2720263
A061_T1,0.27789643,0.53410035,0.57846916
A061_T2,-0.039722584,0.18858784,0.348202
A061_T3,-0.12657246,-0.4430285,-0.23256446
A061_T4,-0.3570014,-0.13941771,-0.1430024
A062_T1,-0.3704665,-0.22055417,-0.26539707
A062_T2,-0.70825285,-0.8215212,-0.69436646
A062_T3,-0.91721493,-0.9323321,-1.1014442
A062_T4,-1.473178,-1.6359278,-1.5777729
A063_T1,-1.3522762,-1.4310209,-1.1652894
A063_T2,-1.8092544,-1.8941947,-1.8394717
A063_T3,-2.0485787,-2.1002824,-2.1530004
A063_T4,-2.0718043,-2.144009,-2.1636863
A064_T1,-0.19487634,-0.30854625,-0.3005401
A064_T2,-0.4814553,-0.5680013,-0.7033519
A064_T3,-0.5586881,-0.80093116,-1.0048964
A064_T4,-0.43883982,-0.669149,-0.96712565
A065_T1,-0.62198526,-0.6322929,-0.7177137
A065_T2,-1.4897271,-1.5547649,-1.3585398
A065_T3,-2.0478284,-2.092673,-2.112804
A065_T4,-1.7742351,-1.8411952,-1.8319333
A066_T1,-0.58994484,-0.64925796,-0.7689241
A066_T2,-0.6306768,-0.6629494,-0.7484284
A066_T3,-0.62628925,-0.8443156,-0.89780515
A066_T4,-1.3191642,-1.4842341,-1.3456833
A067_T1,-0.4303927,-0.6631891,-0.6308637
A067_T2,-1.5271784,-1.5009931,-1.547127
A067_T3,-1.3492595,-1.301397,-1.3436174
A067_T4,-1.2869443,-1.5801054,-1.6265044
A068_T1,0.041042246,0.10393613,0.13849114
A068_T2,-0.2796199,0.04216688,0.040126428
A068_T3,-0.31313655,-0.39396983,-0.35970926
A068_T4,-0.5057283,-0.7258828,-0.6801646
A069_T1,-0.4020022,-0.9365156,-1.0404915
A069_T2,-1.4499841,-1.488637,-1.266805
A069_T3,-1.7942796,-1.8467675,-1.8290046
A069_T4,-1.3804613,-1.4360601,-1.1510758
A070_T1,-0.52630675,-0.29900378,-0.3350351
A070_T2,-0.47626057,-0.5283659,-0.64481163
A070_T3,-1.0379626,-1.1001633,-1.2495152
A070_T4,-1.40912,-1.380208,-1.2951629
A071_T1,0.079379715,-0.2101987,-0.18011476
A071_T2,-1.0360751,-0.71898764,-0.8241594
A071_T3,-0.94362855,-1.2808174,-1.3068295
A071_T4,-0.99542475,-0.9643679,-0.9443722
A072_T1,0.021770157,-0.12560481,-0.06627835
A072_T2,-0.11928012,-0.12898642,-0.30195212
A072_T3,-0.43547037,-0.8038134,-0.7065909
A072_T4,-0.69750965,-0.9867087,-0.61629593
