contrast,estimate,se,z,p_uncorrected,p_tukey,significant_tukey
Congruent - Common,0.006193663377295638,0.012704740789133223,0.4875080475937989,0.6258983412080461,1.0,False
Incongruent - Common,4.79070074220515e-05,0.012704740789133223,0.0037707977059262725,0.9969913458584987,1.0,False
Incongruent - Congruent,-0.006145756369873586,0.014878583222371983,-0.4130605903815225,0.6795622222471569,1.0,False
