congruence,age_slope,se,CI_lower,CI_upper,TSVR_day3
Common,-0.0062128375062783575,0.006558155487658,-0.01906682226208804,0.006641147249531324,78.6681
Congruent,-1.917412898228693e-05,0.01025738714494667,-0.02012365293307776,0.020085304675113186,78.6681
Incongruent,-0.006164930498856162,0.01025738714494667,-0.026269409302951637,0.01393954830523931,78.6681
