term,coef,se,z,p_uncorrected,p_bonferroni,significant_bonferroni
Age_c:Congruent:TSVR_hours,-0.0001460783910395,0.0001046123915197,-1.3963775124286684,0.162600843209253,0.325201686418506,False
Age_c:Congruent:log_TSVR,0.0050326815783629,0.003662833028312,1.3739860756585305,0.169446005287879,0.338892010575758,False
Age_c:Incongruent:TSVR_hours,5.798328978192963e-06,0.0001046123915197,0.0554267892546828,0.9557984538983912,1.0,False
Age_c:Incongruent:log_TSVR,0.0006520522674071,0.003662833028312,0.178018561689009,0.8587083984519399,1.0,False
