term,coef,se,z,p_value
Intercept,-0.06849188501634221,0.06551151652156514,-1.0454938101424653,0.29579479992130375
C(location)[T.Source],0.03892559777455939,0.05565712464977356,0.6993821189919799,0.48431325943177705
log_TSVR,-0.13794287214676318,0.010509090533867718,-13.126052316536216,2.335162373314393e-39
C(location)[T.Source]:log_TSVR,-0.008817958490816366,0.014853989286566768,-0.5936424431644705,0.5527512869340867
