composite_ID,theta_Source,theta_Destination
A104_T3,-0.14866999,0.13863671
A104_T4,-1.2789935,-1.284099
A105_T1,0.61516607,0.5449039
A105_T2,0.41612887,0.18196529
A105_T3,-0.3236314,-0.31218833
A105_T4,-0.2430712,-0.22133994
A106_T1,-0.03485644,0.3040899
A106_T2,-0.6778077,-0.6731347
A106_T3,-0.17605197,-0.20144719
A106_T4,-0.37065715,0.08071876
A107_T1,-1.6091614,-1.5541539
A107_T2,-2.1841025,-2.0352635
A107_T3,-1.3234899,-1.4178009
A107_T4,-1.6889918,-1.5716547
A108_T1,-0.7909203,-0.34627223
A108_T2,-0.80433625,-1.000741
A108_T3,-0.7921201,-0.7485418
A108_T4,-0.76942104,-0.9805145
A109_T1,-1.3589526,-1.2468426
A109_T2,-1.8378288,-1.7238507
A109_T3,-0.98674816,-1.0366689
A109_T4,-1.5363755,-1.4776334
