composite_ID,UID,TEST,TSVR_hours,log_TSVR,location,theta
A030_T2,A030,T2,32.95,3.5248888540047054,Source,0.21377146
A030_T3,A030,T3,71.93,4.289500076996142,Source,-0.47402352
A030_T4,A030,T4,150.46,5.020321563685677,Source,0.2392587
A031_T1,A031,T1,1.0,0.6931471805599453,Source,0.35223007
A031_T2,A031,T2,32.41,3.508855256368665,Source,0.066912115
A031_T3,A031,T3,71.56,4.2844138058068815,Source,-0.6555821
A031_T4,A031,T4,143.85,4.975698724215359,Source,-0.9255208
A032_T1,A032,T1,1.0,0.6931471805599453,Source,0.3556729
A032_T2,A032,T2,57.18,4.063541653067055,Source,-0.22092295
A032_T3,A032,T3,80.16,4.396422514957614,Source,-0.07842231
A032_T4,A032,T4,144.51,4.980244812772187,Source,-0.18293339
A033_T1,A033,T1,1.0,0.6931471805599453,Source,-0.08154905
A033_T2,A033,T2,29.16,3.4065165431397553,Source,-0.30839193
A033_T3,A033,T3,72.6,4.298645025734831,Source,0.06875718
A033_T4,A033,T4,168.33,5.131849473677249,Source,-0.2847555
A034_T1,A034,T1,1.0,0.6931471805599453,Source,0.4980229
A034_T2,A034,T2,26.08,3.298795448044074,Source,0.47552276
A034_T3,A034,T3,74.28,4.3212144952771245,Source,0.22463083
A034_T4,A034,T4,145.38,4.986205980173081,Source,-0.19622636
A035_T1,A035,T1,1.0,0.6931471805599453,Source,-0.3433745
A035_T2,A035,T2,44.76,3.8234103470715426,Source,0.07683998
A035_T3,A035,T3,79.98,4.394202210604015,Source,-0.58164066
A035_T4,A035,T4,152.47,5.033505108187003,Source,-1.0525974
A036_T1,A036,T1,1.0,0.6931471805599453,Source,-1.515249
A036_T2,A036,T2,21.63,3.119276459645446,Source,-1.7673868
A036_T3,A036,T3,71.47,4.28317268312119,Source,-1.5560216
A036_T4,A036,T4,143.85,4.975698724215359,Source,-1.4760953
A037_T1,A037,T1,1.0,0.6931471805599453,Source,0.2787043
A037_T2,A037,T2,23.7,3.2068032436339315,Source,-0.2574504
A037_T3,A037,T3,72.08,4.291554731509806,Source,-0.7351769
A037_T4,A037,T4,143.66,4.974386161421135,Source,-0.8546302
A038_T1,A038,T1,1.0,0.6931471805599453,Source,-0.1395585
A038_T2,A038,T2,71.85,4.288402532641213,Source,-0.053043365
A038_T3,A038,T3,72.86,4.3021714094244174,Source,-0.21951783
A038_T4,A038,T4,152.89,5.0362380614757605,Source,0.08328974
A039_T1,A039,T1,1.0,0.6931471805599453,Source,0.73000395
A039_T2,A039,T2,28.65,3.3894621254437345,Source,0.41058666
A039_T3,A039,T3,98.84,4.603568904621118,Source,0.14971769
A039_T4,A039,T4,246.24,5.510359524791073,Source,-0.43495274
A040_T1,A040,T1,1.0,0.6931471805599453,Source,-0.16564754
A040_T2,A040,T2,26.26,3.3054204262683866,Source,-0.172449
A040_T3,A040,T3,71.28,4.280547465724028,Source,-0.5883464
A040_T4,A040,T4,143.53,4.97348709846075,Source,-0.6348135
A041_T1,A041,T1,1.0,0.6931471805599453,Source,0.57319
A041_T2,A041,T2,31.78,3.4898185733156835,Source,-0.13804448
A041_T3,A041,T3,75.74,4.340423084818807,Source,-0.16103083
A041_T4,A041,T4,141.84,4.961725122726247,Source,0.17215323
A042_T1,A042,T1,1.0,0.6931471805599453,Source,-1.0337087
A042_T2,A042,T2,28.93,3.3988613218646075,Source,-1.7239662
A042_T3,A042,T3,72.17,4.292785500895938,Source,-1.6143719
A042_T4,A042,T4,146.02,4.9905686319459415,Source,-1.1435481
A043_T1,A043,T1,1.0,0.6931471805599453,Source,0.59257984
A043_T2,A043,T2,25.62,3.2816628129669656,Source,0.5617119
