domain,r,CI_lower,CI_upper,p_uncorrected,p_holm,n,threshold_0.70,threshold_0.90
what,0.9060400316930851,0.8867676730448819,0.9221675117411857,1.0144783329522378e-150,2.0289566659044755e-150,400,True,True
where,0.9696821581256532,0.9632116410908818,0.9750290844266596,1.1424043863206836e-245,4.569617545282734e-245,400,True,True
when,0.9192826859433283,0.9025877415468841,0.9332168103573333,2.9451110433038946e-163,8.835333129911684e-163,400,True,True
Overall,0.5847626430360795,0.5462492269380801,0.6208087722516962,5.408452247204968e-111,5.408452247204968e-111,1200,False,False
