TSVR_hours,domain,model,mean_score,CI_lower,CI_upper,n
166.33,What,IRT,0.5725235,,,1
166.87,What,IRT,-0.5827313,,,1
168.33,What,IRT,-0.04748927,,,1
168.86,What,IRT,-0.27844822,,,1
169.55,What,IRT,-0.74143744,,,1
170.25,What,IRT,0.099159405,,,1
170.65,What,IRT,-0.5840122,,,1
187.43,What,IRT,-2.4718368,,,1
194.42,What,IRT,-0.5881184,,,1
244.53,What,IRT,-0.75654626,,,1
246.24,What,IRT,0.6324969,,,1
1.0,When,IRT,0.33246238560999997,0.17461786862825404,0.4903069025917459,100
16.9,When,IRT,-0.46328735,,,1
17.16,When,IRT,-0.24667148,,,1
20.61,When,IRT,0.13481109,,,1
21.63,When,IRT,0.9630702,,,1
21.9,When,IRT,0.68599474,,,1
21.98,When,IRT,0.46021977,,,1
22.09,When,IRT,0.11884567,,,1
22.2,When,IRT,0.65469027,,,1
22.6,When,IRT,0.84386843,,,1
22.64,When,IRT,-0.4354155,,,1
22.77,When,IRT,0.24417153,,,1
22.82,When,IRT,0.23109137,,,1
22.83,When,IRT,-0.42812535,,,1
22.96,When,IRT,0.22694552,,,1
22.98,When,IRT,0.46111983,,,1
23.24,When,IRT,0.17241217,,,1
23.33,When,IRT,-0.34693974,,,1
23.35,When,IRT,-0.1220482,,,1
23.46,When,IRT,-0.1003868,,,1
23.47,When,IRT,-0.5171918,,,1
23.54,When,IRT,-0.6505352,,,1
23.69,When,IRT,-0.31009868,,,1
23.7,When,IRT,-0.10257697,,,1
23.91,When,IRT,-0.24837433,,,1
24.15,When,IRT,0.13275431,,,1
24.25,When,IRT,-0.259115805,-0.369200528,-0.14903108199999998,2
24.32,When,IRT,0.4305871,,,1
24.37,When,IRT,-0.3395108,,,1
24.49,When,IRT,-0.4185087,,,1
24.51,When,IRT,-0.47382683,,,1
24.57,When,IRT,1.3155032,,,1
24.65,When,IRT,0.88505614,,,1
24.66,When,IRT,-0.35258865,,,1
24.73,When,IRT,1.2842733,,,1
24.77,When,IRT,-0.34614083,,,1
24.78,When,IRT,0.657737,,,1
24.87,When,IRT,-0.39960644,,,1
24.96,When,IRT,-0.6040248,,,1
25.15,When,IRT,-0.45229053,,,1
25.6,When,IRT,-0.15484987,,,1
25.62,When,IRT,-0.13192014,,,1
25.63,When,IRT,-0.40719613,,,1
25.66,When,IRT,0.92721575,,,1
25.77,When,IRT,-0.2349469,,,1
26.08,When,IRT,0.14213738,,,1
26.11,When,IRT,-0.30479327,,,1
26.17,When,IRT,-0.0067033195,,,1
26.22,When,IRT,-0.28175655,,,1
26.26,When,IRT,-0.19992182,,,1
26.48,When,IRT,-0.23021683,,,1
26.85,When,IRT,0.23668598,,,1
27.12,When,IRT,-0.33731827,,,1
27.25,When,IRT,-0.27028632,,,1
27.26,When,IRT,0.31559962,,,1
27.3,When,IRT,-0.43344772,,,1
27.61,When,IRT,0.24186571,,,1
27.97,When,IRT,-0.0019905437,,,1
28.26,When,IRT,-0.06869045,,,1
28.43,When,IRT,-0.63901347,,,1
28.65,When,IRT,-0.16371053,,,1
28.68,When,IRT,-0.5502456,,,1
28.69,When,IRT,-0.45907453,,,1
28.75,When,IRT,-0.41050053,,,1
28.93,When,IRT,-0.42842922,,,1
29.03,When,IRT,0.44364765,,,1
29.12,When,IRT,0.81957674,,,1
29.13,When,IRT,-0.33513072,,,1
29.16,When,IRT,0.06584682,,,1
29.33,When,IRT,-0.52071154,,,1
29.57,When,IRT,0.188868,,,1
29.71,When,IRT,-0.49500343,,,1
29.91,When,IRT,-0.20979582,,,1
30.21,When,IRT,-0.32053202,,,1
30.4,When,IRT,1.439004,,,1
30.49,When,IRT,-0.24830456,,,1
30.92,When,IRT,0.43136954,,,1
31.07,When,IRT,-0.49443603,,,1
31.14,When,IRT,-0.33779326,,,1
31.39,When,IRT,-0.025125109,,,1
31.76,When,IRT,0.13763106,,,1
31.78,When,IRT,-0.11600017,,,1
32.14,When,IRT,-0.21348219,,,1
32.31,When,IRT,0.20341103,,,1
32.41,When,IRT,-0.53448284,,,1
32.71,When,IRT,0.22097263,,,1
32.85,When,IRT,-0.30227306,,,1
32.95,When,IRT,-0.44718823,,,1
33.61,When,IRT,0.29106054,,,1
33.76,When,IRT,1.4631172,,,1
34.03,When,IRT,1.0015876,,,1
35.16,When,IRT,0.17510246,,,1
37.65,When,IRT,-0.47561848,,,1
44.69,When,IRT,0.8365811,,,1
44.76,When,IRT,-0.12394886,,,1
47.66,When,IRT,-0.6033976,,,1
53.88,When,IRT,-0.10567103,,,1
57.18,When,IRT,-0.40239063,,,1
61.28,When,IRT,1.3445141,,,1
64.94,When,IRT,-0.11291483,,,1
65.63,When,IRT,-0.1888611,,,1
66.08,When,IRT,1.3641832,,,1
66.28,When,IRT,0.5878819,,,1
66.66,When,IRT,-0.21012893,,,1
66.9,When,IRT,0.53100085,,,1
68.96,When,IRT,0.083498195,,,1
69.46,When,IRT,0.059506916,,,1
69.99,When,IRT,0.53486025,,,1
70.22,When,IRT,1.6647446,,,1
70.56,When,IRT,-0.27616444,,,1
70.59,When,IRT,1.2729087,,,1
70.83,When,IRT,-0.605232,,,1
71.17,When,IRT,-0.2843768,,,1
71.19,When,IRT,-0.29439145,,,1
71.28,When,IRT,1.4048398,,,1
71.31,When,IRT,-0.05944928,,,1
71.37,When,IRT,1.1863189,,,1
71.4,When,IRT,-0.3005388,,,1
71.45,When,IRT,0.77518064,,,1
71.46,When,IRT,1.1596278,,,1
71.47,When,IRT,0.60024065,,,1
71.56,When,IRT,1.0439749,,,1
71.85,When,IRT,-0.13318965,,,1
71.93,When,IRT,-0.73775506,,,1
72.08,When,IRT,-0.0670611,,,1
72.17,When,IRT,-0.4725921,,,1
72.2,When,IRT,0.719344,,,1
72.23,When,IRT,1.2067147,,,1
72.26,When,IRT,0.13950114,,,1
72.3,When,IRT,-0.51325446,,,1
72.55,When,IRT,-0.45838392,,,1
72.6,When,IRT,0.16199993,,,1
72.62,When,IRT,-0.46309766,,,1
72.8,When,IRT,0.13714062,,,1
72.83,When,IRT,-0.41545728,,,1
72.86,When,IRT,0.110988885,,,1
72.87,When,IRT,0.5041131,,,1
72.94,When,IRT,-0.5656397,,,1
73.02,When,IRT,-0.81617445,,,1
73.05,When,IRT,-0.45689148,,,1
73.19,When,IRT,-0.6755898,,,1
73.64,When,IRT,-0.48093566,,,1
73.79,When,IRT,-0.51593107,,,1
73.83,When,IRT,-0.33759665,,,1
74.0,When,IRT,-0.40777707,,,1
74.19,When,IRT,-0.5406563,,,1
74.28,When,IRT,1.5336407,,,1
74.3,When,IRT,-0.47990027,,,1
74.46,When,IRT,-0.38698846,,,1
74.48,When,IRT,-0.40401754,,,1
74.58,When,IRT,-0.5055675,,,1
74.88,When,IRT,-0.19740665,,,1
74.91,When,IRT,-0.43399978,,,1
75.21,When,IRT,-0.45515946,,,1
75.27,When,IRT,-0.6858174,,,1
75.34,When,IRT,-0.28128785,,,1
75.46,When,IRT,-0.40833437,,,1
75.71,When,IRT,-0.12800583,,,1
75.74,When,IRT,-0.38540718,,,1
76.21,When,IRT,0.37761584,,,1
76.85,When,IRT,-0.69356734,,,1
78.25,When,IRT,1.100098,,,1
