correlation,r,ci_lower,ci_upper,n,p_uncorrected,assumption_check,effect_size
BVMT_Where,0.3483160190447122,0.1792273881367255,0.5118447660212279,100,0.0003833960112591406,reasonable,medium
BVMT_What,0.3734231953167022,0.20545746635562465,0.5361682407876345,100,0.0001298852935645023,reasonable,medium
