item_name,factor,a,b
TQ_ICR-D-i1,where,0.3961122930049896,1.1528563499450684
TQ_ICR-D-i2,where,0.6633243560791016,1.4317567348480225
TQ_ICR-D-i3,where,0.6321787238121033,0.8579391241073608
TQ_ICR-D-i4,where,0.6616866588592529,1.5102554559707642
TQ_ICR-D-i5,where,0.4053334891796112,3.1292591094970703
TQ_ICR-D-i6,where,0.9815436005592346,1.1018697023391724
TQ_ICR-N-i1,what,1.6630868911743164,-1.71880042552948
TQ_ICR-N-i2,what,0.6309588551521301,-2.5506272315979004
TQ_ICR-N-i4,what,1.1580451726913452,-2.3768839836120605
TQ_ICR-N-i5,what,1.165858507156372,-2.031181812286377
TQ_ICR-N-i6,what,0.9881821274757385,-2.3208248615264893
TQ_ICR-O-i1,when,2.1731934547424316,0.9906463027000427
TQ_ICR-O-i2,when,0.4151066839694977,4.429620742797852
TQ_ICR-O-i6,when,0.599146842956543,2.0148401260375977
TQ_ICR-U-i1,where,1.4293726682662964,-0.2556902766227722
TQ_ICR-U-i2,where,0.8914260268211365,-0.9696202874183655
TQ_ICR-U-i3,where,1.1789913177490234,-0.6378424167633057
TQ_ICR-U-i4,where,0.7837668657302856,-0.6936501860618591
TQ_ICR-U-i5,where,1.4912500381469727,-0.09136025607585907
TQ_ICR-U-i6,where,0.9699741005897522,-0.5058701038360596
TQ_IFR-D-i2,where,0.48161500692367554,1.943831443786621
TQ_IFR-D-i3,where,0.46684926748275757,1.2565606832504272
TQ_IFR-N-i1,what,1.0213327407836914,-0.3538352847099304
TQ_IFR-N-i2,what,0.6441211700439453,-0.15764081478118896
TQ_IFR-N-i3,what,0.5703335404396057,-0.6356275081634521
TQ_IFR-N-i4,what,0.49818283319473267,-0.7305949926376343
TQ_IFR-N-i5,what,0.9393981695175171,0.6117703914642334
TQ_IFR-N-i6,what,0.8795406222343445,0.5104768872261047
TQ_IFR-O-i1,when,0.860660195350647,1.2334426641464233
TQ_IFR-U-i1,where,1.0532152652740479,-0.01691838726401329
TQ_IFR-U-i2,where,0.7150065302848816,-0.218596950173378
TQ_IFR-U-i3,where,0.6680818796157837,-0.1381245255470276
TQ_IFR-U-i4,where,0.4896586835384369,-0.09923892468214035
TQ_IFR-U-i5,where,0.7966030836105347,0.39270925521850586
TQ_IFR-U-i6,where,0.5192283391952515,0.37724849581718445
TQ_IRE-D-i1,where,0.49323052167892456,1.0352085828781128
TQ_IRE-D-i2,where,0.5252501368522644,1.409710168838501
TQ_IRE-D-i3,where,0.7355937361717224,0.5005384683609009
TQ_IRE-D-i4,where,0.6203049421310425,1.630820393562317
TQ_IRE-D-i6,where,0.9053560495376587,1.0329798460006714
TQ_IRE-N-i1,what,1.6112878322601318,-2.4919426441192627
TQ_IRE-O-i1,when,3.1613399982452393,0.7750067114830017
TQ_IRE-O-i6,when,1.0587077140808105,1.7297348976135254
TQ_IRE-U-i1,where,1.1462583541870117,-0.48235341906547546
TQ_IRE-U-i2,where,0.7244823575019836,-1.6462020874023438
TQ_IRE-U-i3,where,1.2997063398361206,-0.6380922198295593
TQ_IRE-U-i4,where,0.8273969888687134,-0.6679245829582214
TQ_IRE-U-i5,where,1.2798486948013306,-0.26088428497314453
TQ_IRE-U-i6,where,0.750839352607727,-0.889308512210846
TQ_RFR-L-DOOR,where,0.5366145372390747,0.38884466886520386
TQ_RFR-L-LAND,where,0.4617442488670349,-0.15273061394691467
TQ_RFR-L-OBJ1,where,1.02754807472229,-2.1833529472351074
TQ_RFR-L-OBJ2,where,1.1017903089523315,-1.9336005449295044
TQ_RFR-L-OBJ3,where,1.1083402633666992,-1.5244083404541016
TQ_RFR-L-OBJ4,where,0.8765349984169006,-1.9685592651367188
TQ_RFR-L-PORT,where,0.8967207074165344,-1.202400803565979
TQ_RFR-L-STRA,where,1.1647193431854248,-0.8306310772895813
TQ_RFR-L-WIND,where,0.3902723789215088,1.7031619548797607
TQ_RFR-N-LAND,what,0.8670012354850769,-0.17917320132255554
TQ_RFR-N-OBJ3,what,0.8758496046066284,-2.3396167755126953
TQ_RFR-N-OBJ4,what,1.0484845638275146,-2.5896785259246826
TQ_RFR-N-PORT,what,1.532454252243042,-0.8284245133399963
TQ_RFR-N-STRA,what,0.740062952041626,-1.4177981615066528
TQ_RRE-L-DOOR,where,0.4301546514034271,1.8240625858306885
TQ_RRE-L-LAND,where,0.8972653150558472,0.7609373927116394
TQ_RRE-L-PORT,where,1.1701840162277222,-0.5101755857467651
TQ_RRE-L-STRA,where,1.7654240131378174,-1.6954303979873657
TQ_RRE-L-WIND,where,0.6671237945556641,1.79872465133667
TQ_RRE-N-LAND,what,1.0044137239456177,-0.7403344511985779
TQ_RRE-N-PORT,what,2.113497734069824,-1.0739597082138062
