UID,test,Theta_All,Prob_simple,Prob_TCC,TSVR_hours,Days,log_Days_plus1,log_TSVR
A010,1,2.7277744,0.9386457902225233,0.8656321792995559,1.0,0.0416666666666666,0.0408219945202552,0.0
A010,2,0.4830945,0.6184783291429591,0.6498212229985861,21.9,0.9125,0.6484112867185539,3.086486636822455
A010,3,-0.063471645,0.48413741379275366,0.5701491644306483,80.88,3.37,1.4747630091074986,4.392966574712216
A010,4,0.7356485,0.6760435710539507,0.6831192319751667,145.31,6.054583333333333,1.9536775237921948,4.978869391332604
A011,1,0.99576205,0.7302245316247385,0.7148845113389876,1.0,0.0416666666666666,0.0408219945202552,0.0
A011,2,0.40040046,0.5987838711271023,0.6384074085647791,24.57,1.02375,0.7049522260097076,3.201526186533088
A011,3,-0.62277347,0.3491509320703468,0.4807364063665505,72.55,3.0229166666666667,1.392007178526578,4.2842759793301965
A011,4,-0.48618072,0.3807937042394204,0.5030414242482113,148.85,6.202083333333333,1.974370336019688,5.002939087461785
A012,1,1.5109797,0.8192063529532352,0.7702585177568233,1.0,0.0416666666666666,0.0408219945202552,0.0
A012,2,-0.3742091,0.4075243474941188,0.521147452073493,25.6,1.0666666666666669,0.7259370033829361,3.242592351485517
A012,3,0.8594104,0.7025374552899499,0.6985559103783489,166.33,6.930416666666667,2.070705577351747,5.113973766802443
A012,4,-0.57650775,0.3597365555931837,0.48831335004832055,166.87,6.952916666666667,2.0735387376938554,5.117215066158812
A013,1,0.2579466,0.5641314537738482,0.6181810057906351,1.0,0.0416666666666666,0.0408219945202552,0.0
A013,2,-0.576954,0.35963377897629073,0.48824036422985995,24.77,1.0320833333333332,0.7090615393740157,3.209633243501268
A013,3,0.15941933,0.5397706388386694,0.6037930737411973,79.66,3.3191666666666664,1.4630624824136147,4.377767577753498
A013,4,-0.50066453,0.37738451449453175,0.5006863432044909,147.13,6.130416666666666,1.9643696712414147,4.991316549709856
A014,1,0.9670465,0.7245304113413019,0.7115048305833017,1.0,0.0416666666666666,0.0408219945202552,0.0
A014,2,1.7351536,0.8500704358145991,0.7913547049023342,25.66,1.0691666666666666,0.727145949732075,3.2449333591874905
A014,3,0.37096328,0.591691720318773,0.6342854523160132,70.56,2.94,1.3711807233098423,4.256463411698536
A014,4,-0.60555935,0.3530728344640581,0.4835578446621542,148.87,6.202916666666667,1.9744860365867496,5.003073441888966
A015,1,1.7906865,0.8570114228022856,0.7963142040197618,1.0,0.0416666666666666,0.0408219945202552,0.0
A015,2,1.9530646,0.8757804209369404,0.8102297596898618,23.69,0.9870833333333334,0.6866679019621874,3.165053018170694
A015,3,1.7458305,0.8514261340590065,0.7923162993811778,70.59,2.94125,1.3714979318771336,4.256888491407381
A015,4,0.74841046,0.6788322477665373,0.6847380521784759,146.54,6.105833333333333,1.9609160429659576,4.987298428731818
A016,1,1.3865802,0.8000457302990569,0.7577856581448489,1.0,0.0416666666666666,0.0408219945202552,0.0
A016,2,0.23833106,0.5593023243432275,0.6153418176079599,32.85,1.36875,0.8623623898485996,3.4919517449306197
A016,3,-0.063229874,0.48419779593921597,0.5701864150355042,80.64,3.36,1.4724720573609429,4.3899948043230586
A016,4,-1.1086501,0.24812263729163334,0.4007577980578891,150.8,6.283333333333334,1.9855886328734893,5.015954455573856
A017,1,-0.12061626,0.4698824393805156,0.5613024804320692,1.0,0.0416666666666666,0.0408219945202552,0.0
A017,2,1.2353034,0.7747454451614093,0.7418574028232722,20.61,0.85875,0.6199042187922278,3.0257763949023677
A017,3,0.18662216,0.5465206006746008,0.6077968617250833,61.28,2.553333333333333,1.2678861300695887,4.1154535254323354
A017,4,0.04002261,0.5100043171182906,0.5859498893276637,140.49,5.853750000000001,1.9247959477361207,4.9451363118635605
A018,1,0.34396127,0.5851524407199876,0.6304777352776928,1.0,0.0416666666666666,0.0408219945202552,0.0
A018,2,-0.10368377,0.47410225410775086,0.5639324708425852,34.03,1.4179166666666667,0.8829062878545713,3.5272424885128144
A018,3,-0.6740158,0.3375982200155315,0.4723236743031136,83.64,3.485,1.5007384955107592,4.426521874560433
A018,4,0.015628511,0.503907048225497,0.5822524188577762,150.87,6.28625,1.9859890103776223,5.016418538851983
A019,1,-0.44238952,0.3911717419928796,0.5101447528768644,1.0,0.0416666666666666,0.0408219945202552,0.0
A019,2,-1.233944,0.2254918790499454,0.38031575296696607,28.69,1.1954166666666668,0.7863718538732487,3.3565486299932736
A019,3,-1.1916012,0.23297268474559452,0.3872036149684397,83.68,3.486666666666667,1.501110035548472,4.427000000316613
A019,4,-1.652823,0.1607277779802378,0.31394877233250507,154.76,6.448333333333333,2.007990293717305,5.041875529832312
