UID,test,Theta_All,Prob_simple,Prob_TCC
A071,1,1.1001538,0.7502889219733927,0.7269061296350858
A071,2,0.40058818,0.5988289684714081,0.6384335958534946
A071,3,-0.86193055,0.29693615630394526,0.44136172357278275
A071,4,0.1462163,0.5364890891715367,0.6018413852990925
A072,1,0.9622242,0.7235669059471592,0.7109341794966701
A072,2,0.37431285,0.5925007025218408,0.6347560171647788
A072,3,-0.88631296,0.29187128866378487,0.4373396827654964
A072,4,-0.13873519,0.4653717268622194,0.5584803777731073
A073,1,0.8751058,0.7058069969955382,0.700471729211453
A073,2,-0.48682293,0.38064228923089116,0.5029370578349572
A073,3,-0.018863132,0.49528435682496574,0.5769958105120117
A073,4,0.9759681,0.7263074671081884,0.7125582326794639
A074,1,1.1391835,0.7575296970821662,0.7312945213977526
A074,2,-0.16370372,0.4591652232462542,0.5545784588475154
A074,3,-0.85258937,0.2988899603285294,0.4429026673026848
A074,4,-1.1428367,0.2417999202322078,0.39516292553312937
A075,1,0.4822121,0.6182700937362563,0.6497007337350412
A075,2,0.49708104,0.6217731199644394,0.6517272549703252
A075,3,-1.5457226,0.1757049164549373,0.33053898669795495
A075,4,-0.5980336,0.35479370385087133,0.48479050915191607
A076,1,-0.39436588,0.4026667472526026,0.5179023232384499
A076,2,-0.7679121,0.31693093392612415,0.4568669425802546
A076,3,-1.2046329,0.23065207484733338,0.3850813092149816
A076,4,-2.5163941,0.07471685436476604,0.1956942213022877
A077,1,1.257486,0.7785930331183347,0.7442460127561936
A077,2,-0.15718071,0.46078552461148053,0.555599260776607
A077,3,0.254887,0.563378990370588,0.617738995351822
A077,4,0.58986604,0.6433344084597006,0.6641894085815704
A078,1,0.05510661,0.513773167217504,0.5882276334141799
A078,2,0.07325087,0.5183045335275418,0.5909586718386494
A078,3,-1.0537938,0.25849725281297975,0.4097570674532451
A078,4,-1.0697036,0.2554594553431129,0.40714456615698796
A079,1,0.49688977,0.6217281377009317,0.6517012375939487
A079,2,-0.40158516,0.4009315478130507,0.5167384434606157
A079,3,-0.94553256,0.2797841471238818,0.4275746316840761
A079,4,-0.9119565,0.28659964373409674,0.4331102877480175
A080,1,0.35685366,0.5882785810622339,0.6322989438734754
A080,2,0.34285796,0.584884588115112,0.6303216107148495
A080,3,0.31786218,0.5788031608638837,0.6267732872713998
A080,4,-0.8033879,0.30930128103427806,0.4510181203072348
A081,1,0.56923956,0.6385876890783878,0.6614465819947967
A081,2,-0.24241331,0.4396917144005034,0.5421847615450579
A081,3,0.93472326,0.7180325492836219,0.707662835873835
A081,4,0.18450806,0.5459965995986259,0.6074865475102746
A082,1,0.47511065,0.6165926631993609,0.6487300190259679
A082,2,1.1720833,0.7635213755344843,0.7349490240923875
A082,3,0.4018064,0.5991215896492104,0.638603509418582
A082,4,-0.08527875,0.47869322366760053,0.566782995303733
A083,1,1.9135383,0.871416135860115,0.8069216302517344
A083,2,0.9028967,0.7115444114258593,0.7038408198477977
A083,3,0.21852846,0.5544157366163933,0.6124626699761879
A083,4,-0.03377411,0.49155727502942786,0.5747131851166644
A084,1,0.37614724,0.5929435290199707,0.6350135546849808
A084,2,-0.4066572,0.3997139320817612,0.5159202393914358
A084,3,0.011830099,0.5029574902580441,0.5816751616849731
A084,4,-0.024996497,0.4937512011136871,0.5760576262650019
A085,1,0.29977113,0.5743865666848474,0.6241917457341852
A085,2,1.7130281,0.8472286303465172,0.7893497113814651
A085,3,-0.14947924,0.4626996175955293,0.5568031878686769
A085,4,-0.5059031,0.3761544245118221,0.49983388939301
A086,1,0.9054527,0.712068743976705,0.7041491988943114
A086,2,-0.35819164,0.4113973892813345,0.5237212972686861
A086,3,-1.1229844,0.24545812769998984,0.3984105093958581
A086,4,-1.1456217,0.24128970582876402,0.3947076552848837
A087,1,1.164813,0.7622061617263278,0.734144949092963
A087,2,1.112516,0.7525978740020384,0.728302335564602
A087,3,-0.23325346,0.4419495932069005,0.5436340797763818
A087,4,0.27864328,0.5692135746199879,0.6211627628097394
A088,1,2.00997,0.8818398962777303,0.8149046077259167
A088,2,2.599694,0.9308418834204355,0.8576286375066083
A088,3,0.43418288,0.6068720579531082,0.6430999074307577
A088,4,1.1879628,0.7663765146568782,0.7366983441965472
A089,1,1.6034564,0.8325009104835118,0.7791730821491685
A089,2,0.9674698,0.7246148881048066,0.7115548797207341
A089,3,0.524776,0.628263874961848,0.655480294928456
A089,4,0.3647498,0.590189738470083,0.6334115084303906
A090,1,0.20163605,0.5502389136977427,0.6099965157791871
A090,2,-0.51139903,0.374865617549553,0.49893918941023474
A090,3,-1.5578265,0.17395875137915223,0.32864873895202984
A090,4,-1.1440647,0.24157485904187775,0.3949621716348354
A091,1,0.64397514,0.655651492813049,0.6713090066588164
A091,2,-0.25296763,0.437093199514797,0.5405126115149567
A091,3,-1.0806334,0.25338617030824334,0.40535093605435524
A091,4,-0.80276793,0.3094337433608257,0.4511203591620756
A092,1,-0.28513366,0.4291956428675947,0.5354023525260792
A092,2,-0.78696686,0.31282031414615147,0.453725824749983
A092,3,-0.45482323,0.38821461375548905,0.508130616031746
A092,4,-1.3833519,0.2004712093937981,0.35622703146114143
A093,1,0.56161565,0.6368262880388277,0.6604287783504663
A093,2,0.19028424,0.5474280397171218,0.6083340542030504
A093,3,0.67098945,0.6617246781943705,0.6748223040792205
A093,4,0.5149613,0.6259687969077091,0.6541534908581049
A094,1,-0.70889944,0.3298420693097056,0.4665864902785031
A094,2,-0.17624284,0.45605298630871477,0.5526133866410985
A094,3,-1.6861137,0.1562876103595195,0.30885777006708653
A094,4,-1.1788263,0.23526329624115425,0.3892861038517253
A095,1,1.5409168,0.8235979614400082,0.7731774290213566
A095,2,-0.27584857,0.431471846905153,0.5368796308445244
A095,3,-0.5608494,0.3633509477363446,0.49087304795691356
A095,4,-0.7580661,0.3190662840097718,0.458489583034205
A096,1,-0.45961466,0.38707724119956366,0.5073538633362448
A096,2,-1.2598481,0.2210000420675702,0.37611390430561437
A096,3,-2.12857,0.10635082285539532,0.2448582045011769
A096,4,-1.4557325,0.18912089611970312,0.3447039716659161
A097,1,0.24293853,0.5604376762260105,0.6160098573729952
A097,2,-0.5491651,0.36605813385448394,0.4927814246308339
A097,3,0.7895957,0.6877445129411904,0.6899199390516122
A097,4,0.086306766,0.5215633079934274,0.5929177895413528
A098,1,0.6008492,0.6458505657628958,0.6656434302727016
A098,2,0.3483601,0.5862198510334395,0.6310997741407395
A098,3,1.1610224,0.7615184406122064,0.7337249304786922
A098,4,-0.6924288,0.3334929925669143,0.4692962553598425
A099,1,1.1219946,0.754358506807655,0.7293689461457004
A099,2,1.2483166,0.7770083205520333,0.7432608786727299
A099,3,-0.21441267,0.44660125006399093,0.5466095050720253
A099,4,0.8498486,0.7005353819044425,0.6973841511816611
A100,1,-0.06985861,0.4825424466555204,0.5691645453130362
A100,2,0.79101294,0.6880487870507475,0.6900971025765249
A100,3,0.2661362,0.5661441029175217,0.6193625927517591
A100,4,0.06164612,0.5154066512227023,0.5892130638707543
A101,1,-1.0356112,0.26199770309951226,0.4127449758205978
A101,2,-0.70036155,0.33173207241748154,0.4679913422261822
A101,3,-1.5118189,0.1806693886904203,0.3358531174688646
A101,4,-1.1640573,0.23793083447259772,0.3916960319935853
A102,1,-0.044223346,0.48894596497662945,0.5731099928875298
A102,2,1.0700971,0.7446153811239693,0.7234873165311002
A102,3,-0.4782194,0.38267267605398725,0.5043347770170248
A102,4,-0.5023084,0.3769983397780697,0.5004188791596913
A103,1,1.7611793,0.8533572976789254,0.7936919139465589
A103,2,-1.0142955,0.26614005636861665,0.41625044104573367
A103,3,-1.7227138,0.1515219392284265,0.30329939956797325
A103,4,-0.96813315,0.2752527613533936,0.42385042831453695
A104,1,1.7474676,0.8516331075503718,0.7924634008502637
A104,2,0.04523211,0.5113060999286633,0.5867372912300081
A104,3,0.22338806,0.5556159272501868,0.6131704100055784
A104,4,-1.7777252,0.1445842531453501,0.2950249106494745
A105,1,0.61165696,0.6483186843397372,0.6670698275700329
A105,2,0.47426346,0.6163923624994405,0.6486140921262281
A105,3,-0.23769371,0.4408547776787339,0.5429317431282777
A105,4,0.29649377,0.5735851668446575,0.6237228808678054
A106,1,1.1972102,0.768028121846264,0.7377126966701286
A106,2,0.124567874,0.5311017613256549,0.5986295254764978
A106,3,0.3480307,0.5861399474792132,0.6310532169576
A106,4,1.0106606,0.7331494098202717,0.7166255936660724
A107,1,-0.71622896,0.32822393153624435,0.46538015705285257
A107,2,-1.6166046,0.16567366980984027,0.31952402713857464
A107,3,-1.0414004,0.26087987618567177,0.41179340678849713
A107,4,-1.2497748,0.22273912445774682,0.3777467382860807
A108,1,-0.4913459,0.379576559304155,0.5022018714341228
A108,2,-1.1094757,0.2479686472077561,0.4006225514642656
A108,3,-0.358304,0.41137018162571215,0.5237032575362731
A108,4,-1.1333818,0.24353754178964646,0.39670913478959635
A109,1,-0.25337747,0.43699236396163466,0.5404476325664227
A109,2,-1.0994496,0.24984303699116747,0.402265404233061
A109,3,-0.23198725,0.4422619016836728,0.5438342855141265
A109,4,-1.2962439,0.2147978411083959,0.37022699715582275
