comparison,method,r_or_rho,p_uncorrected,p_bonferroni,CI_lower,CI_upper,N
baseline_accuracy vs abs_calibration,Spearman,-0.10113411341134111,0.31673211860578,0.63346423721156,-0.29648722017406187,0.08321899180241848,100
baseline_accuracy vs mean_gamma,Spearman,0.4612061206120611,1.3711014273176876e-06,2.7422028546353753e-06,0.27556955995048055,0.6227077089198355,100
