metric,test_used,statistic,p_value,tertile,mean,sd,median,iqr
abs_calibration,Kruskal-Wallis,1.7441181765235,0.4180897785657699,Low,0.5659607773867547,0.45822473390469626,0.5176797119623452,0.5313577375745864
abs_calibration,Kruskal-Wallis,1.7441181765235,0.4180897785657699,Med,0.4871971605141974,0.46758568078675955,0.3352150370611843,0.6265677734016593
abs_calibration,Kruskal-Wallis,1.7441181765235,0.4180897785657699,High,0.42004015715547743,0.35684951511981106,0.35485155635747495,0.43064450664218534
mean_gamma,Kruskal-Wallis,21.161804415735674,2.5396423324074158e-05,Low,0.6171505929276493,0.1329144115841103,0.6328605882541591,0.1485476514540225
mean_gamma,Kruskal-Wallis,21.161804415735674,2.5396423324074158e-05,Med,0.7187277044240826,0.06907968175581325,0.7208965952897388,0.0925385712116521
mean_gamma,Kruskal-Wallis,21.161804415735674,2.5396423324074158e-05,High,0.7385863552952263,0.06311455417029024,0.7371121607106466,0.09462286315772506
