contrast,estimate,SE,z,p_uncorrected,p_bonferroni,cohens_d,interpretation
What vs Where,0.03852873860471004,0.06630068931420777,0.5811212372486391,0.561158746335414,1.0,0.04109147675500291,not significant
What vs When,-0.003508785876302255,0.07925926893333156,-0.04426972294248195,0.9646894055961164,1.0,-0.0031303421293878667,not significant
Where vs When,-0.04203752448101229,0.07886520321814312,-0.5330300660575926,0.5940127678226526,1.0,-0.03769091742856371,not significant
