observation,fitted,residuals,standardized_residuals,cooks_distance,leverage
0,0.030390880915242714,-0.026918880915242714,-0.7453332437178215,0.0066330952197125245,0.07198231249448375
1,0.02986025568034593,0.0013897443196540689,0.03847940948836597,4.2860739481670796e-05,0.14732286020287516
2,0.03181376339884627,0.013325236601153728,0.36895076918377895,0.0021785834064194814,0.09230324282204577
3,0.04251153718969031,-0.0008445371896903045,-0.023383648265845165,4.813685006673709e-06,0.05502860381230686
4,0.04040922989847927,0.029034770101520738,0.8039182404538139,0.010930539837542608,0.09661812987405864
5,0.03722215271124763,-0.01291615271124763,-0.35762400476231426,0.0011888301148167343,0.05776715646493507
6,0.03861805443047959,0.016937945569520413,0.46897989381490324,0.0017401264023999227,0.049984127046693305
7,0.03952804077904399,0.08894395922095602,2.462691143959209,0.08563200612899635,0.0830930645924792
8,0.04488868870992795,-0.024055688709927952,-0.6660568302408242,0.003937357374008175,0.055430424962677576
9,0.04097419961253796,-0.027085199612537962,-0.7499382960057046,0.00656282973135084,0.07056313988111192
10,0.03985416738897928,0.02611783261102072,0.723153720993964,0.0034979373674033643,0.042891493676577214
11,0.038760512910349786,0.002906487089650217,0.08047516749205971,6.652185451537463e-05,0.06311225860977225
12,0.04713355030845191,-0.040189550308451914,-1.1127731494215778,0.00985770380965689,0.05026497159263429
13,0.05041069091157302,-0.01221669091157302,-0.3382572215126815,0.0018671651126528212,0.09380570597454264
14,0.04118841967334982,0.003950580326650181,0.10938414782921675,0.00014857071516817432,0.07445849836506847
15,0.04256890171395672,-0.032151901713956724,-0.8902257590727144,0.005792142084263695,0.04651223247387433
16,0.041465201845373945,-0.003271201845373946,-0.09057343393824747,7.716855857808005e-05,0.058382872626624074
17,0.04172309652015612,0.01383290347984388,0.38300711137027665,0.0009620025853427201,0.04211950546047122
18,0.042926453937731465,-0.025565453937731464,-0.7078593932089594,0.0037537995691385665,0.04757080693447309
19,0.04284085272845813,-0.0011738527284581302,-0.03250177689419838,8.745942226583823e-06,0.05207598427329865
20,0.040171155518991634,-0.019338155518991634,-0.5354371983691273,0.0026120484276424016,0.05674416226698917
21,0.039701618337468866,0.008909381662531135,0.24668404139691683,0.0002551813096743969,0.027747443757149187
22,0.04134928181915608,-0.017043281819156077,-0.4718964566864884,0.0008258467738283732,0.02469369866040265
23,0.03813699262913996,-0.010358992629139956,-0.2868210458761663,0.0008412546725632212,0.06286485905580509
24,0.04284909511348317,0.05437290488651683,1.5054835933569781,0.01735975424544483,0.048537044397147
25,0.03633659450627223,-0.0016145945062722294,-0.04470508876048515,1.4791042636668298e-05,0.047046401906685874
26,0.03540415947770296,-0.03540415947770296,-0.9802746669783495,0.008937484844359916,0.05779717406140618
27,0.03818383875312466,-0.006933838753124658,-0.1919849694181144,0.00033947788574890784,0.05729617255245178
28,0.045629917657574494,0.07589808234242551,2.101475320699908,0.0860763017750399,0.10844897638853604
29,0.04140658392780067,-0.013628583927800673,-0.3773498868014386,0.001375041030531237,0.05975903638728675
30,0.03855685541510312,0.006582144584896879,0.18224721857969,0.0007325532262053705,0.11965291178795402
31,0.034610217155079864,0.0035837828449201345,0.09922821461244695,0.00010094586240389705,0.0630070126902915
32,0.04599703889628039,-0.042525038896280384,-1.177438441055097,0.0066082569051631795,0.03130966836583163
33,0.03544133474992322,0.08261466525007677,2.28744488388575,0.031051784130931626,0.03841154716465794
34,0.040059147970400125,-0.040059147970400125,-1.1091625536499872,0.009306175293338274,0.04799111839910162
35,0.04191804000527266,0.0032209599947273376,0.08918233147634615,0.00011472765320836899,0.08460985840166906
36,0.040515321655543314,0.035873678344456685,0.9932747623777877,0.011732126866972392,0.07172768085136791
37,0.046431301860542444,0.009124698139457557,0.25264575015735014,0.0019100689778681413,0.15099013405421235
38,0.038662849122135856,0.0030041508778641465,0.08317929432008249,6.14336492829164e-05,0.05545254184659202
39,0.030548195996442293,-0.013187195996442292,-0.3651286841573511,0.0013929041734677303,0.06406473034730914
40,0.03823712654730962,0.006901873452690381,0.1910999102979337,0.00063336117807036,0.09863478483119599
41,0.02777117327801163,0.03472882672198837,0.9615759716280301,0.03196697640426952,0.16766122903183578
42,0.048676513538416614,-0.020898513538416614,-0.5786405806954928,0.00266132302214094,0.05019356790225238
43,0.04271409263211407,-0.03924209263211407,-1.0865398262231245,0.002860990390384295,0.016411563901831936
44,0.042198444944161334,0.020301555055838666,0.5621119217372836,0.0021015228791919603,0.042668851147966085
45,0.04499330953077739,-0.034576309530777394,-0.957353057116616,0.01526848958801884,0.0954208002993993
46,0.04254090390907253,-0.02170790390907253,-0.6010510795678047,0.0012322259987697073,0.022799885352425192
47,0.04028475182093741,-0.005562751820937406,-0.15402214793961883,8.251869910528286e-05,0.023230994504999842
48,0.03372954340392485,-0.012896543403924852,-0.35708105987987415,0.0009658919659260869,0.04805279861711197
49,0.03951751966655053,-0.01868451966655053,-0.5173392495114416,0.0014104387344970658,0.034395377563338735
50,0.03950496725275853,0.04382803274724147,1.2135158930316126,0.012559817357853434,0.05348648588046496
51,0.05102912078103747,0.03924887921896253,1.0867277340639245,0.02449221908744483,0.11396811721910274
52,0.04566674909121509,-0.02136074909121509,-0.5914390148136773,0.0022876630025964683,0.0420135057342682
53,0.049930945156387074,-0.049930945156387074,-1.3824940729327893,0.011754093900262547,0.03969864833093712
54,0.035348758661242916,0.006318241338757087,0.17494023345306628,0.00023046355686974124,0.04779493460325213
55,0.052878209670773155,-0.025100209670773154,-0.6949776534477494,0.005868975574529853,0.07308067278534701
56,0.049761868797836485,-0.028928868797836484,-0.8009860322971131,0.006379138177071527,0.061325388336714734
57,0.04792695195973953,-0.030565951959739532,-0.8463137896856496,0.005174546696915634,0.046023811812031294
58,0.045635207765456154,0.02033679223454385,0.563087573020355,0.0022412711809521603,0.045117063617991365
59,0.04026454827169676,0.008346451728303242,0.23109756901773426,0.0006381671454283799,0.07202945237038166
60,0.03316255397355037,-0.005384553973550369,-0.1490881843014311,0.00017473129144871858,0.049694545149127994
