metric,mean,std,min,max,overfitting_flag
train_r2,0.04859412131881595,0.013602556865681435,0.03542179884367369,0.07088904398575124,
test_r2,-0.2759864385831328,0.19617439776168288,-0.5201286987904916,-0.042612550963356144,
rmse,0.037767722246760504,0.006839780066749466,0.03164700866090315,0.04798465165394371,
mae,0.027864367197887957,0.002883069627699527,0.024457242377394123,0.03108212124710592,
generalization_gap,0.3245805599019488,0.2086255408005769,0.07803434980702983,0.5910177427762429,True
