model,R2,R2_adj,F_stat,p_value,AIC,delta_R2,F_change
Demographics,0.017074310391227754,-0.013642117409046417,0.5558690125768913,0.6454484413880546,-378.270978601613,0.017074310391227754,0.5558690125768913
Full_Model,0.030730498121647964,-0.03180301812856823,0.4914244386751833,0.813277271438478,-373.67006108558235,0.01365618773042021,0.21133731697875285
