predictor_value,partial_residual
4,0.7007522424256447
2,-0.07528439725127425
10,0.2823772071153145
7,-0.5718276247099765
9,0.07093615681257026
15,0.9147718768192203
4,0.08313302648009244
1,0.5535105610820413
5,-0.24926493436069594
0,-1.1927210481285582
4,-0.8614866299345543
0,0.24402127086155573
2,-0.10859865171010104
0,-0.04653361349515889
4,0.21217720980061433
6,0.35448849811941824
0,-0.11797167326430902
3,-0.20430371882471898
0,0.90395974261298
1,0.4716136645183825
4,0.4462575016122444
0,0.606598291832037
5,0.3061816106317832
4,0.5651677365101733
2,-0.4790097882092059
8,-0.28019597537804564
11,0.8058303631848067
16,0.07493085391460536
7,1.1853435610084124
0,-0.7160853103843067
0,-0.8796200940854598
1,0.5186187585603198
2,-0.898304293567823
1,-1.0240943431132732
2,-1.1490509539007199
14,-1.0350347513891567
3,0.2725708692044057
14,0.41926514861479924
0,-0.7849491501935282
1,0.05836906985187561
2,0.08413934261288694
0,0.4292377222179421
0,1.1084162700395992
0,0.12341056081298064
8,-0.10542581505003129
6,-0.6079523982418692
0,-0.21480316604591732
4,1.1452016990307352
4,0.3187307357131871
7,1.0527000570012213
4,0.2530178657379458
3,0.3097606749068426
2,0.3009044063902878
5,-0.5381277769910208
8,-0.6690001920154229
1,0.4112922852326552
0,-0.9145062181529504
5,-0.07648332354283399
7,0.45311363067340704
10,0.31195880128212816
2,0.5753558114019462
6,0.03170853857795801
2,-0.16379864651818654
4,-1.0842008786988828
1,0.49288987032775916
4,-0.2680215196269732
4,-0.31472825402184734
1,0.12793953117120846
0,0.536656109451576
0,0.4259532689021239
3,0.8209389246569833
4,0.21784860287776447
0,0.560407951494037
0,-0.3606282582266547
9,0.46692306945718565
4,1.5647604450026835
2,1.0943688056611214
5,-0.5908934058583759
1,-0.23289075729752892
3,-0.6247095333193451
3,0.6253412081607523
3,-0.919429176095528
0,-0.007302648685299755
0,-1.2836238540624236
2,0.32359718833176654
1,0.3397523583507229
1,0.9244342407562202
0,0.4650144665944027
1,-0.8502214709487234
1,0.06664970449649221
5,-0.2874287451116416
1,0.12363736330876848
0,0.41716619960683815
3,0.6957962043584035
6,-0.9001273386246008
0,-0.49164477330938716
3,-0.5428783500673441
