time,theta_mean,CI_lower,CI_upper,congruence
1.0,0.469797914117,0.29470113711531964,0.6448946911186804,common
28.769699999999997,0.12624630757,-0.02121462406444452,0.2737072392044445,common
78.6681,-0.20053262436,-0.3726654451769873,-0.02839980354301272,common
151.3752,-0.38025960017300003,-0.5356701481723767,-0.22484905217362344,common
1.0,0.42289170384,0.24250185929120194,0.6032815483887981,congruent
28.769699999999997,0.12899457259150002,-0.023693729206229808,0.28168287438922984,congruent
78.6681,-0.12063522748000001,-0.2866833689948277,0.04541291403482771,congruent
151.3752,-0.40400570681,-0.5591737283885239,-0.24883768523147606,congruent
1.0,0.55340890843,0.39296582329646673,0.7138519935635332,incongruent
28.769699999999997,0.087720788905,-0.06684234909666796,0.24228392690666795,incongruent
78.6681,-0.19024887023399997,-0.3568707226440138,-0.02362701782398613,incongruent
151.3752,-0.39730251474,-0.5675594658148057,-0.22704556366519438,incongruent
