time,prob_mean,CI_lower,CI_upper,congruence
1.0,0.6153359242577386,0.5731466576035603,0.6558590725462915,common
28.769699999999997,0.5315197242198155,0.49469654288867704,0.5680027994257235,common
78.6681,0.4500341728336421,0.40789711339393364,0.4929005262805244,common
151.3752,0.406064286186872,0.3691953897616031,0.4440233731197259,common
1.0,0.6041750017119267,0.5603301007441038,0.6464067134297506,congruent
28.769699999999997,0.5322040003872772,0.4940768447972421,0.5699587546372941,congruent
78.6681,0.4698777147179985,0.4288160264381597,0.511351277733096,congruent
151.3752,0.40035030737328775,0.36373866457266807,0.43810960503788793,congruent
1.0,0.6349261215812673,0.5969964565347329,0.6712517502099474,incongruent
28.769699999999997,0.5219161454154471,0.4832956317161608,0.560276410155354,incongruent
78.6681,0.45258072317765524,0.4117172862540131,0.4940935203088993,incongruent
151.3752,0.40196061189017335,0.36180015587376174,0.44348119463868757,incongruent
