Model,N_predictors,R2,Adj_R2,Delta_R2,F_statistic,p_value,CV_test_R2_mean,CV_test_R2_sd
Demographics,3,0.04210548322807017,0.01120566010639501,0.04210548322807017,1.3626447977475522,0.25910108605181414,-0.21699776866952422,0.17082629429582688
+ Cognitive,8,0.2470940837841923,0.17864809140093707,0.2049886005561221,4.791832939659932,0.0006397146421290856,-0.16775587219614152,0.4608966260383107
+ Self-report,13,0.30493965052425365,0.19607477650998018,0.05784556674006136,1.381515157078494,0.2396326192225542,-0.3981942784123459,0.7917357686195674
