composite_ID,UID,test,Theta,SE,TSVR_hours,Days,Days_squared,log_Days_plus1
A010_1,A010,1,2.7277744,0.3,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A010_2,A010,2,0.4830945,0.3,21.9,0.9125,0.83265625,0.6484112867185539
A010_3,A010,3,-0.063471645,0.3,80.88,3.3699999999999997,11.356899999999998,1.4747630091074986
A010_4,A010,4,0.7356485,0.3,145.31,6.054583333333333,36.65797934027778,1.9536775237921948
A011_1,A011,1,0.99576205,0.3,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A011_2,A011,2,0.40040046,0.3,24.57,1.02375,1.0480640625,0.7049522260097076
A011_3,A011,3,-0.62277347,0.3,72.55,3.0229166666666667,9.138025173611112,1.392007178526578
A011_4,A011,4,-0.48618072,0.3,148.85,6.202083333333333,38.46583767361111,1.974370336019688
A012_1,A012,1,1.5109797,0.3,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A012_2,A012,2,-0.3742091,0.3,25.6,1.0666666666666667,1.1377777777777778,0.7259370033829361
A012_3,A012,3,0.8594104,0.3,166.33,6.930416666666667,48.030675173611115,2.070705577351747
A012_4,A012,4,-0.57650775,0.3,166.87,6.952916666666667,48.34305017361111,2.0735387376938554
A013_1,A013,1,0.2579466,0.3,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A013_2,A013,2,-0.576954,0.3,24.77,1.0320833333333332,1.0651960069444442,0.7090615393740157
A013_3,A013,3,0.15941933,0.3,79.66,3.3191666666666664,11.016867361111109,1.4630624824136147
A013_4,A013,4,-0.50066453,0.3,147.13,6.130416666666666,37.58200850694444,1.9643696712414147
A014_1,A014,1,0.9670465,0.3,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A014_2,A014,2,1.7351536,0.3,25.66,1.0691666666666666,1.143117361111111,0.727145949732075
A014_3,A014,3,0.37096328,0.3,70.56,2.94,8.6436,1.3711807233098425
A014_4,A014,4,-0.60555935,0.3,148.87,6.202916666666667,38.47617517361111,1.9744860365867498
A015_1,A015,1,1.7906865,0.3,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A015_2,A015,2,1.9530646,0.3,23.69,0.9870833333333334,0.9743335069444446,0.6866679019621874
A015_3,A015,3,1.7458305,0.3,70.59,2.94125,8.650951562500001,1.3714979318771336
A015_4,A015,4,0.74841046,0.3,146.54,6.105833333333333,37.28120069444444,1.9609160429659578
A016_1,A016,1,1.3865802,0.3,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A016_2,A016,2,0.23833106,0.3,32.85,1.3687500000000001,1.8734765625000003,0.8623623898485996
A016_3,A016,3,-0.063229874,0.3,80.64,3.36,11.289599999999998,1.4724720573609429
A016_4,A016,4,-1.1086501,0.3,150.8,6.283333333333334,39.480277777777786,1.9855886328734895
A017_1,A017,1,-0.12061626,0.3,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A017_2,A017,2,1.2353034,0.3,20.61,0.85875,0.7374515625,0.6199042187922278
A017_3,A017,3,0.18662216,0.3,61.28,2.5533333333333332,6.519511111111111,1.2678861300695887
A017_4,A017,4,0.04002261,0.3,140.49,5.853750000000001,34.26638906250001,1.9247959477361212
