UID,test,Theta_All,composite_ID,SE_All
A048,4,0.24918203,A048_4,0.3
A049,1,2.4560845,A049_1,0.3
A049,2,-0.61245424,A049_2,0.3
A049,3,0.44339195,A049_3,0.3
A049,4,-0.0929696,A049_4,0.3
A050,1,-0.45196992,A050_1,0.3
A050,2,-0.89034986,A050_2,0.3
A050,3,-0.99992687,A050_3,0.3
A050,4,-0.9441603,A050_4,0.3
A051,1,1.5938071,A051_1,0.3
A051,2,-0.26109725,A051_2,0.3
A051,3,-0.6282685,A051_3,0.3
A051,4,-0.57831335,A051_4,0.3
A052,1,0.5892241,A052_1,0.3
A052,2,0.4787392,A052_2,0.3
A052,3,-0.06628771,A052_3,0.3
A052,4,-0.8093184,A052_4,0.3
A053,1,1.100973,A053_1,0.3
A053,2,0.9966286,A053_2,0.3
A053,3,-0.4276976,A053_3,0.3
A053,4,0.0352238,A053_4,0.3
A054,1,0.43286586,A054_1,0.3
A054,2,1.025182,A054_2,0.3
A054,3,0.9228488,A054_3,0.3
A054,4,1.3311749,A054_4,0.3
A055,1,0.54884535,A055_1,0.3
A055,2,0.6640077,A055_2,0.3
A055,3,-0.16270319,A055_3,0.3
A055,4,-0.7871538,A055_4,0.3
A056,1,0.53444076,A056_1,0.3
A056,2,0.4880972,A056_2,0.3
A056,3,-0.3343727,A056_3,0.3
A056,4,-0.88360006,A056_4,0.3
A057,1,0.11767566,A057_1,0.3
A057,2,-0.7528595,A057_2,0.3
A057,3,-0.62856567,A057_3,0.3
A057,4,-1.1673949,A057_4,0.3
A058,1,1.0580877,A058_1,0.3
A058,2,-0.6548976,A058_2,0.3
A058,3,-0.20743902,A058_3,0.3
A058,4,-0.8776561,A058_4,0.3
A059,1,1.1459101,A059_1,0.3
A059,2,1.3851051,A059_2,0.3
A059,3,1.260472,A059_3,0.3
A059,4,0.16794363,A059_4,0.3
A060,1,0.09857056,A060_1,0.3
A060,2,1.4475787,A060_2,0.3
A060,3,-0.47504553,A060_3,0.3
A060,4,-0.07777615,A060_4,0.3
A061,1,2.8199987,A061_1,0.3
A061,2,1.1226801,A061_2,0.3
A061,3,0.4408873,A061_3,0.3
A061,4,-0.16876605,A061_4,0.3
A062,1,1.5842819,A062_1,0.3
A062,2,0.1727387,A062_2,0.3
A062,3,-0.71585697,A062_3,0.3
A062,4,-0.89840555,A062_4,0.3
A063,1,0.9093255,A063_1,0.3
A063,2,0.9312054,A063_2,0.3
A063,3,0.18337917,A063_3,0.3
A063,4,-0.55954504,A063_4,0.3
A064,1,1.2291615,A064_1,0.3
A064,2,0.45048577,A064_2,0.3
A064,3,0.37163347,A064_3,0.3
A064,4,-0.44060802,A064_4,0.3
A065,1,-2.0864258,A065_1,0.3
A065,2,-1.0982392,A065_2,0.3
A065,3,-2.5222554,A065_3,0.3
A065,4,-2.385374,A065_4,0.3
A066,1,0.4200569,A066_1,0.3
A066,2,-0.4783222,A066_2,0.3
A066,3,-0.9511778,A066_3,0.3
A066,4,-1.3360963,A066_4,0.3
A067,1,0.47197825,A067_1,0.3
A067,2,-1.2835661,A067_2,0.3
A067,3,-1.4929804,A067_3,0.3
A067,4,-1.103625,A067_4,0.3
A068,1,1.4245718,A068_1,0.3
A068,2,0.25074682,A068_2,0.3
A068,3,0.61191285,A068_3,0.3
A068,4,-0.4490234,A068_4,0.3
A069,1,-0.5605094,A069_1,0.3
A069,2,-1.3055727,A069_2,0.3
A069,3,-0.5882657,A069_3,0.3
A069,4,-1.6870563,A069_4,0.3
A070,1,0.6764704,A070_1,0.3
A070,2,0.21166372,A070_2,0.3
A070,3,-0.4876204,A070_3,0.3
A070,4,-1.0733613,A070_4,0.3
A071,1,0.9958795,A071_1,0.3
A071,2,0.26538214,A071_2,0.3
A071,3,-0.8777348,A071_3,0.3
A071,4,-0.042999495,A071_4,0.3
A072,1,0.91645557,A072_1,0.3
A072,2,0.3751308,A072_2,0.3
A072,3,-0.81133604,A072_3,0.3
A072,4,-0.0817006,A072_4,0.3
A073,1,0.9957846,A073_1,0.3
A073,2,-0.4913242,A073_2,0.3
A073,3,-0.14373788,A073_3,0.3
A073,4,0.93009675,A073_4,0.3
A074,1,0.9626249,A074_1,0.3
A074,2,-0.34564295,A074_2,0.3
A074,3,-0.575106,A074_3,0.3
A074,4,-1.2836679,A074_4,0.3
A075,1,0.45032063,A075_1,0.3
A075,2,0.2683013,A075_2,0.3
A075,3,-1.8507649,A075_3,0.3
A075,4,-0.9048554,A075_4,0.3
A076,1,-0.6379001,A076_1,0.3
A076,2,-0.7909255,A076_2,0.3
A076,3,-1.2561121,A076_3,0.3
A076,4,-2.5194018,A076_4,0.3
A077,1,1.33746,A077_1,0.3
A077,2,-0.30576867,A077_2,0.3
A077,3,0.14040291,A077_3,0.3
A077,4,0.36516038,A077_4,0.3
A078,1,-0.08624711,A078_1,0.3
A078,2,0.30265188,A078_2,0.3
A078,3,-1.0519501,A078_3,0.3
A078,4,-1.1050198,A078_4,0.3
A079,1,0.5305679,A079_1,0.3
A079,2,-0.61114615,A079_2,0.3
A079,3,-0.87106067,A079_3,0.3
A079,4,-1.0269446,A079_4,0.3
A080,1,0.5778041,A080_1,0.3
A080,2,0.44047934,A080_2,0.3
A080,3,0.3870624,A080_3,0.3
A080,4,-0.89493895,A080_4,0.3
A081,1,0.49396476,A081_1,0.3
A081,2,-0.36096162,A081_2,0.3
A081,3,0.92653066,A081_3,0.3
A081,4,0.22536466,A081_4,0.3
A082,1,0.6482256,A082_1,0.3
A082,2,1.2460932,A082_2,0.3
A082,3,0.47234717,A082_3,0.3
A082,4,0.0020050048,A082_4,0.3
A083,1,1.9354273,A083_1,0.3
A083,2,0.78153,A083_2,0.3
A083,3,0.12291725,A083_3,0.3
A083,4,0.12475566,A083_4,0.3
A084,1,0.53629977,A084_1,0.3
A084,2,-0.42613417,A084_2,0.3
A084,3,0.15531756,A084_3,0.3
A084,4,-0.04013128,A084_4,0.3
A085,1,0.19106227,A085_1,0.3
A085,2,1.4430826,A085_2,0.3
A085,3,-0.13057785,A085_3,0.3
A085,4,-0.71213853,A085_4,0.3
A086,1,0.8028717,A086_1,0.3
A086,2,-0.38645846,A086_2,0.3
A086,3,-1.1856545,A086_3,0.3
A086,4,-1.2038834,A086_4,0.3
A087,1,1.325463,A087_1,0.3
A087,2,1.2286069,A087_2,0.3
A087,3,-0.08346461,A087_3,0.3
A087,4,0.1638898,A087_4,0.3
A088,1,1.6653214,A088_1,0.3
A088,2,2.7343075,A088_2,0.3
A088,3,0.2920275,A088_3,0.3
A088,4,1.0196997,A088_4,0.3
A089,1,1.684811,A089_1,0.3
A089,2,0.77640015,A089_2,0.3
A089,3,0.54418266,A089_3,0.3
A089,4,0.26399255,A089_4,0.3
A090,1,-0.066786215,A090_1,0.3
A090,2,-0.7580146,A090_2,0.3
A090,3,-1.7822647,A090_3,0.3
A090,4,-1.2923989,A090_4,0.3
A091,1,0.68786967,A091_1,0.3
A091,2,-0.21779716,A091_2,0.3
A091,3,-1.1676509,A091_3,0.3
A091,4,-0.72046006,A091_4,0.3
A092,1,-0.4340864,A092_1,0.3
A092,2,-0.7317531,A092_2,0.3
A092,3,-0.3995234,A092_3,0.3
A092,4,-1.291662,A092_4,0.3
A093,1,0.48454294,A093_1,0.3
A093,2,-0.0011263222,A093_2,0.3
A093,3,0.73889714,A093_3,0.3
A093,4,0.09065886,A093_4,0.3
A094,1,-0.71493804,A094_1,0.3
A094,2,-0.1356808,A094_2,0.3
A094,3,-1.4350656,A094_3,0.3
A094,4,-1.1596512,A094_4,0.3
A095,1,1.5336831,A095_1,0.3
A095,2,-0.287394,A095_2,0.3
A095,3,-0.3805502,A095_3,0.3
A095,4,-0.7819117,A095_4,0.3
A096,1,-0.59310097,A096_1,0.3
A096,2,-1.3536474,A096_2,0.3
A096,3,-2.4384432,A096_3,0.3
A096,4,-1.5395485,A096_4,0.3
A097,1,0.117087744,A097_1,0.3
A097,2,-0.5918415,A097_2,0.3
A097,3,0.52745247,A097_3,0.3
A097,4,0.19752754,A097_4,0.3
A098,1,0.77702796,A098_1,0.3
A098,2,0.3133654,A098_2,0.3
A098,3,1.1807414,A098_3,0.3
A098,4,-0.5988883,A098_4,0.3
A099,1,1.3566605,A099_1,0.3
A099,2,1.2302085,A099_2,0.3
A099,3,-0.19240673,A099_3,0.3
A099,4,0.76852953,A099_4,0.3
A100,1,-0.43424392,A100_1,0.3
A100,2,0.7044266,A100_2,0.3
A100,3,0.30981317,A100_3,0.3
A100,4,-0.113048375,A100_4,0.3
A101,1,-1.0238266,A101_1,0.3
A101,2,-0.74324477,A101_2,0.3
A101,3,-1.1910353,A101_3,0.3
A101,4,-1.3781722,A101_4,0.3
A102,1,0.082344115,A102_1,0.3
A102,2,0.98131657,A102_2,0.3
A102,3,-0.5701043,A102_3,0.3
A102,4,-0.40897045,A102_4,0.3
A103,1,1.6428897,A103_1,0.3
A103,2,-1.0596846,A103_2,0.3
A103,3,-1.3777509,A103_3,0.3
A103,4,-0.9151305,A103_4,0.3
A104,1,1.5400796,A104_1,0.3
A104,2,0.06245017,A104_2,0.3
A104,3,0.26324788,A104_3,0.3
A104,4,-1.7560852,A104_4,0.3
A105,1,0.8182087,A105_1,0.3
A105,2,0.4687139,A105_2,0.3
A105,3,-0.36317235,A105_3,0.3
A105,4,0.22836915,A105_4,0.3
A106,1,1.0446092,A106_1,0.3
A106,2,0.20515609,A106_2,0.3
A106,3,0.5867971,A106_3,0.3
A106,4,1.0032997,A106_4,0.3
A107,1,-0.7538496,A107_1,0.3
A107,2,-1.583635,A107_2,0.3
A107,3,-1.2629321,A107_3,0.3
A107,4,-1.4568596,A107_4,0.3
A108,1,-0.42871863,A108_1,0.3
A108,2,-1.1822429,A108_2,0.3
A108,3,-0.36078978,A108_3,0.3
A108,4,-1.462381,A108_4,0.3
A109,1,-0.376558,A109_1,0.3
A109,2,-1.0087283,A109_2,0.3
A109,3,-0.34360167,A109_3,0.3
A109,4,-1.3481764,A109_4,0.3
