term,estimate,SE,z,p_uncorrected
Intercept,0.820269359864683,0.022816658841767833,35.95045907261015,4.978467451940515e-283
C(domain)[T.when],-0.48663786327893077,0.03190899120450031,-15.250806901419605,1.6261110342237224e-52
C(domain)[T.where],-0.17471852008913275,0.03190899120450032,-5.475526285659922,4.362132013066987e-08
TSVR_hours,-0.0003156127469605906,0.012759705825473382,-0.024735111551749386,0.9802662486731515
TSVR_hours:C(domain)[T.when],0.0009112845507523115,0.0004183437610749715,2.1783151454456613,0.02938258236172565
TSVR_hours:C(domain)[T.where],-0.00011195806573359287,0.0004183437610749714,-0.26762217140732947,0.788990162979538
log_TSVR,-0.025056179721678888,0.010493211203794572,-2.3878466977409194,0.016947409455319088
log_TSVR:C(domain)[T.when],-0.015384604623717544,0.01472478878267644,-1.0448098679566373,0.296110853216872
log_TSVR:C(domain)[T.where],-0.004677743573864771,0.014724788782676438,-0.3176781441760365,0.750729091477101
