UID,Total_Intercept_What,Total_Intercept_Where,Total_Slope_What,Total_Slope_Where
A010,0.619243677873077,0.7781370284664545,-0.0063079364921099,-0.0352786741118318
A011,0.1946595629383146,0.0356541737710897,-0.0132687213659882,-0.0111706209124523
A012,0.2755217295906475,0.3604849539739924,-0.0012813180013269,0.0003187783686122
A013,-0.1195993549273318,-0.2656565084526067,0.0130628671046597,0.0214832166995516
A014,0.5889010951783664,0.4274490171324735,0.0016762518770699,-0.0077822712432721
A015,1.1301752837502286,1.22755892237969,0.0133144794046028,0.0018903690690819
A016,-0.0085743669480321,0.2822488895980377,-0.0163230552964434,-0.0275594876326004
A017,0.1795631231222125,0.0859614619665072,0.034717681469175,0.0227365775049578
A018,-0.1580064488408606,-0.1296150616444861,0.0063825926475537,0.0105248510585747
A019,-0.6420285898019131,-1.1160536315220702,-0.009676390433762,0.0073055666108612
A020,-0.5979175634224372,-0.6692179888935954,-0.018320440781007,-0.0108600422116585
A021,0.5572780822765694,0.5704555682037517,0.0153876240495781,0.0069793627345475
A022,-0.0649913492437315,-0.0192780567866894,0.0213841944728088,0.0266411325165138
A023,0.0399970426545041,0.0455464771084043,0.0096401038929527,0.0037430199550818
A024,-0.0603675354270352,-0.0433742581624508,0.0154624353155789,0.0040513449414251
A025,0.2068026053025362,0.4542170450766722,-0.0213848338353975,-0.0186229735604514
A026,0.2168428105047692,0.3216040257041737,0.0069138502806533,0.0002473894465194
A027,-0.0533806636156475,0.0010972677341805,-0.0152361321867,-0.0141289907120337
A028,0.2119310684404307,0.1098699059488297,-0.0150515336921283,-0.031748066067272
A029,0.6896263838560582,0.9117386669929016,0.0194995307726382,-0.0006930641352721
A030,0.1586892641685653,0.2734198694238033,0.0153347370293556,0.0282807242647086
A031,0.3825945462832601,0.4767447183473365,-0.024017099599734,-0.0441847502707111
A032,0.5575243141461902,0.4733372521257488,0.0273092595794308,0.0301349022056322
A033,0.2390175461321973,0.1042865337807393,0.0216106101773014,0.017501192432937
A034,0.421098555089285,0.5649163659228384,-0.0110575865636009,-0.0229271158938387
A035,-0.0863778049322142,-0.2151882315952429,0.0100751958805964,0.0145804346985089
A036,0.0318525501923505,-0.0523924787057048,-0.0100084351751675,-0.0282744404251858
A037,0.471028197845363,0.555562240942973,-0.0031523983191884,-0.0110318298530535
A038,0.4283334982343817,0.3872433077144668,0.004132633526269,-0.0017063520799367
A039,0.879072369720406,1.1183255920251651,-0.0039234909026932,-0.0165818792096458
A040,-0.6818209693786844,-0.7665246552632078,-0.0137745291535712,0.0024353290421998
A041,0.0866315304383514,0.1073270068755284,-0.0046704568864855,-0.0039565541706512
A042,-0.5155038783609862,-0.8590553164117605,0.0181919769532653,0.0338274081466897
A043,0.2824285076037739,0.3878300926490313,0.0087850354318169,-0.0061755455613889
A044,-0.5489226749892614,-0.6978404396936594,-0.008956705279228,-0.0075917445533781
A045,-0.7945415146543879,-1.0261894274865124,0.0056815158156797,0.0267298355894045
A046,-0.880972731788676,-1.034044822488741,-0.0061153288766369,0.0253617572082153
A047,-0.7313274498918549,-0.887021197641827,-0.0077337019251225,0.0172047845475274
A048,0.2221197675208032,0.2696935244097782,0.0090046285471859,-0.0111839774196542
A049,0.4128870029052311,0.5175956416876712,-0.0191758047511606,-0.0219204882898843
A050,-0.6822067128837462,-0.6311317412945536,0.0016713454805328,0.0125315185307892
A051,-0.1002975936756439,0.1484903144800242,-0.0188889937619142,-0.0333455480873348
A052,0.2302115327076603,-0.1610689853537936,-0.0030218762300115,0.0074650766597363
A053,0.3050507725534049,0.398524466562762,0.0008562741276665,-0.0149697665291706
A054,0.5808445075550003,0.6715966976678849,0.0373638605158663,0.043316705534391
A055,0.0723384524976326,0.0393128595987629,0.0139807972288373,0.004951473443158
A056,-0.0610227639388442,-0.0918803621499851,0.0010677331026589,-0.0061451970293792
A057,-0.235969264403299,-0.4067830057586254,-0.0044497975145606,-0.008410851856463
A058,-0.1882932776757985,-0.1314587623813369,-0.0141140689996154,-0.0163511945138415
A059,0.7569819156827474,0.6971509378608761,0.0206031478881373,0.0234121915465313
A060,0.2200532441838825,-0.0098270024866946,0.021541673572268,0.0257902804427136
A061,0.7782702422567198,0.855194336944429,-0.0261867878452653,-0.0428098444801159
A062,0.1501735094866589,0.2472991056176051,-0.0161521180477496,-0.0289322221653399
A063,0.1952258876987252,0.2694643777639721,3.806966896613406e-05,-0.0065471708317542
A064,0.4085773285316245,0.1438091547017703,0.006076173302301,0.0018773320898751
A065,-1.5311618304804715,-1.6214049451684336,0.0025588924331477,0.0345820360565638
A066,-0.298523171636415,-0.4339422962450526,-0.0180762036448105,-0.0121588108935791
A067,-0.4853354541025246,-0.6623601132197421,-0.029389534911062,-0.0193653628581271
A068,0.3661504367686794,0.3183734900521884,-0.0114371978543689,-0.0061224517836913
A069,-0.7105007904504098,-1.1321795554563263,0.0016322828459913,0.0238535322521492
A070,-0.0464510684297545,-0.1535947366699862,-0.0022680431965048,-0.0156173162914245
A071,0.0798103820198923,0.2369743961447343,-0.0035554387005718,-0.0089017957834597
A072,-0.021976219468248,0.1349966612266506,-0.0117647888800841,-0.0080674192067412
A073,0.0978010365634145,0.3271471879557354,0.0113687249729378,0.0150214436889971
A074,-0.357016841465316,0.0034545012354502,-0.0278449565426349,-0.0236254622586534
A075,-0.2778190829663137,-0.0876839140299951,-0.004830330825144,-0.013281526703832
A076,-0.8816977628462924,-0.9185987642358976,-0.0202291523409233,-0.0018698434136787
A077,0.4211985246321452,0.3118514238414953,0.0045701439284689,0.0066916004566467
A078,-0.2690127426660972,-0.43386849284742,0.0021573273148245,-0.0022414768872825
A079,-0.3952567432197078,-0.3145632830172983,-0.0006685032504662,-0.0086829383312913
A080,0.0720429709992552,0.0726992911007655,0.0040074361435948,0.0086720478811467
A081,0.1347077570427556,0.2535778970412368,0.0207291661209944,0.0280706301827186
A082,0.3918218923170268,0.3201506324331999,0.0133690080086665,0.0165946813087498
A083,0.4195229270872653,0.7845379390616991,-0.0171777112096644,-0.0240649170054859
A084,-0.2270574486887442,0.0210311080074125,0.0095210584655432,0.0126719336696129
A085,0.1542265064944732,0.2089929737984364,0.0096429841806096,0.0101607622290415
A086,-0.312074302083198,-0.1784884449558016,-0.0140344849021409,-0.0261847735373782
A087,0.4705653691899322,0.4991141207130023,0.0041503184468513,-0.0081422558042367
A088,1.03945753772436,1.3154811411551788,0.0183627553637581,-0.0153695814815802
A089,0.5456098523878228,0.7220459323323314,0.0006640142207395,-0.0077711225720044
A090,-0.5841384487596141,-0.500115186193844,-0.0259795803557148,-0.0025040084835225
A091,-0.1709317563445418,-0.2582985580941814,-0.0062020015903047,-0.0147305358291318
A092,-0.6158474182801154,-0.5847959231778678,0.0003348143282779,0.0098567327255871
A093,0.3408304693920873,0.2331161165559114,0.0288971384091765,0.0259509683249573
A094,-0.6132568716974978,-0.8058246652482216,-0.0025360779718543,0.0156548783899563
A095,0.1292982527350868,0.0401520070269966,-0.0205733984628956,-0.0319050710655709
A096,-1.148985212749125,-1.0109373515310085,-0.0162437098233857,0.0025901937321288
A097,0.0401373949675182,-0.0386540429751246,0.0206216116622863,0.0331699105878577
A098,0.3296473619916039,0.3226473284114164,0.0167648476608528,0.0042319319455913
A099,0.2448411468727342,0.6232448709194512,-0.0008707389845383,0.0094652901584502
A100,0.2167861685035336,0.0586907131697218,0.0248481238592307,0.0343491128395026
A101,-0.9792014168599212,-0.9534384058304248,0.0046336458240282,0.0251940341575565
A102,-0.0257669901761531,-0.0585272002374082,0.0178139993554828,0.0116890541797341
A103,-0.2426878258201464,-0.2918621387237128,-0.0381467615284088,-0.0440822814189628
A104,0.1737824785511709,0.1952087120244665,-0.0376535055448519,-0.044221117839064
A105,0.1732556011732046,0.1998647590216857,0.0069559012420542,0.0098883586816377
A106,0.6061297833467345,0.5097131101014091,0.0110323583763905,0.0117601732585299
A107,-0.8872399796743984,-1.0973531120986784,0.0009500691129577,0.0205002220453752
A108,-0.7742220571309764,-0.6438629721682888,0.0046134117380778,0.0227452295507887
A109,-0.5608874148862397,-0.6382580781926674,0.000765349306548,0.0151134196642447
