UID,cluster
A010,4
A011,0
A012,3
A013,1
A014,3
A015,3
A016,4
A017,1
A018,1
A019,2
A020,0
A021,3
A022,1
A023,1
A024,1
A025,4
A026,3
A027,0
A028,4
A029,3
A030,1
A031,4
A032,1
A033,1
A034,4
A035,1
A036,0
A037,3
A038,3
A039,3
A040,2
A041,0
A042,2
A043,3
A044,0
A045,2
A046,2
A047,2
A048,3
A049,4
A050,2
A051,4
A052,0
A053,3
A054,1
A055,1
A056,0
A057,0
A058,0
A059,1
A060,1
A061,4
A062,4
A063,3
A064,3
A065,2
A066,0
A067,0
A068,3
A069,2
A070,0
A071,0
A072,0
A073,1
A074,0
A075,0
A076,2
A077,3
A078,0
A079,0
A080,1
A081,1
A082,1
A083,4
A084,1
A085,1
A086,0
A087,3
A088,3
A089,3
A090,0
A091,0
A092,2
A093,1
A094,2
A095,4
A096,2
A097,1
A098,1
A099,3
A100,1
A101,2
A102,1
A103,4
A104,4
A105,1
A106,3
A107,2
A108,2
A109,2
