K,inertia,BIC,delta_BIC
1,395.99999999999994,156.04508327059128,65.95064930199814
2,255.43809824154857,130.62235322398143,40.5279192553883
3,152.32913137303575,97.34937541916815,7.254941450575018
4,121.8814235810693,93.47056780052957,3.3761338319364285
5,98.01107558678474,90.09443396859314,0.0
6,84.58255859383189,93.77987408131993,3.685440112726795
