UID,TEST,location_type,theta,se,TSVR_hours
A052,T1,Destination,-0.6850114,0.5,1.0
A052,T2,Destination,-0.23417139,0.5,31.76
A052,T3,Destination,-0.9427875,0.5,80.98
A052,T4,Destination,0.034749992,0.5,153.27
A053,T1,Destination,-0.4502908,0.5,1.0
A053,T2,Destination,-1.6746286,0.5,32.71
A053,T3,Destination,-2.037302,0.5,78.28
A053,T4,Destination,-1.89259,0.5,148.9
A054,T1,Destination,0.4693622,0.5,1.0
A054,T2,Destination,-0.2542895,0.5,16.9
A054,T3,Destination,-0.4796437,0.5,72.83
A054,T4,Destination,-0.043233745,0.5,136.83
A055,T1,Destination,-0.03458076,0.5,1.0
A055,T2,Destination,-1.02525,0.5,23.24
A055,T3,Destination,-1.4525794,0.5,74.48
A055,T4,Destination,-1.5069975,0.5,149.21
A056,T1,Destination,-0.31293535,0.5,1.0
A056,T2,Destination,-1.1222712,0.5,33.61
A056,T3,Destination,-0.6666082,0.5,71.46
A056,T4,Destination,-1.5222534,0.5,147.84
A057,T1,Destination,-0.6698607,0.5,1.0
A057,T2,Destination,-0.3021773,0.5,24.78
A057,T3,Destination,-1.046279,0.5,73.83
A057,T4,Destination,-1.5262234,0.5,145.06
A058,T1,Destination,-0.093785755,0.5,1.0
A058,T2,Destination,-0.109634034,0.5,22.96
A058,T3,Destination,-0.027735107,0.5,66.28
A058,T4,Destination,-0.9226202,0.5,143.48
A059,T1,Destination,-0.74984205,0.5,1.0
A059,T2,Destination,-0.80831677,0.5,30.4
A059,T3,Destination,-0.5651938,0.5,79.78
A059,T4,Destination,-0.47267723,0.5,151.93
A060,T1,Destination,-0.07753169,0.5,1.0
A060,T2,Destination,-0.06836402,0.5,24.87
A060,T3,Destination,0.2595057,0.5,94.68
A060,T4,Destination,0.48543715,0.5,143.91
A061,T1,Destination,0.92875934,0.5,1.0
A061,T2,Destination,0.80587673,0.5,35.16
A061,T3,Destination,0.39314365,0.5,82.55
A061,T4,Destination,0.46075106,0.5,146.56
A062,T1,Destination,-0.0907191,0.5,1.0
A062,T2,Destination,-0.20216143,0.5,44.69
A062,T3,Destination,-0.89908874,0.5,92.72
A062,T4,Destination,-1.335995,0.5,149.18
A063,T1,Destination,-1.1453488,0.5,1.0
A063,T2,Destination,-1.3659563,0.5,21.98
A063,T3,Destination,-1.5536242,0.5,69.99
A063,T4,Destination,-1.687606,0.5,141.09
A064,T1,Destination,0.13230014,0.5,1.0
A064,T2,Destination,-0.27324927,0.5,37.65
A064,T3,Destination,-0.83695614,0.5,82.99
A064,T4,Destination,0.1552983,0.5,156.21
A065,T1,Destination,-0.12966514,0.5,1.0
A065,T2,Destination,-1.5419153,0.5,32.31
A065,T3,Destination,-1.5336815,0.5,106.41
A065,T4,Destination,-1.5619777,0.5,187.43
A066,T1,Destination,-0.95108926,0.5,1.0
A066,T2,Destination,-0.40383792,0.5,23.35
A066,T3,Destination,-1.0677891,0.5,73.79
A066,T4,Destination,-1.321545,0.5,164.93
A067,T1,Destination,-0.78326046,0.5,1.0
A067,T2,Destination,-1.6094011,0.5,29.91
A067,T3,Destination,-1.5481073,0.5,73.19
A067,T4,Destination,-0.91407484,0.5,144.19
A068,T1,Destination,0.65786695,0.5,1.0
A068,T2,Destination,0.36208034,0.5,30.49
A068,T3,Destination,-0.43609893,0.5,82.98
A068,T4,Destination,-0.44159007,0.5,155.59
A069,T1,Destination,-0.55585605,0.5,1.0
A069,T2,Destination,-1.5368589,0.5,24.96
A069,T3,Destination,-1.5020038,0.5,79.75
A069,T4,Destination,-1.389695,0.5,140.22
A070,T1,Destination,-0.12926179,0.5,1.0
A070,T2,Destination,-0.13407838,0.5,24.25
A070,T3,Destination,-1.0468057,0.5,81.92
A070,T4,Destination,-1.5684022,0.5,149.2
A071,T1,Destination,0.054713376,0.5,1.0
A071,T2,Destination,-0.8447603,0.5,30.92
A071,T3,Destination,-1.0355132,0.5,79.96
A071,T4,Destination,-0.8932065,0.5,153.27
A072,T1,Destination,0.39353013,0.5,1.0
A072,T2,Destination,0.3008167,0.5,33.76
A072,T3,Destination,-0.101512246,0.5,83.54
A072,T4,Destination,-0.018325202,0.5,154.89
A073,T1,Destination,-0.6538286,0.5,1.0
A073,T2,Destination,-0.9625182,0.5,66.66
A073,T3,Destination,-0.93056107,0.5,66.9
A073,T4,Destination,-1.0389396,0.5,140.12
A074,T1,Destination,-0.18035519,0.5,1.0
A074,T2,Destination,0.15289661,0.5,29.33
A074,T3,Destination,-0.061039798,0.5,73.02
A074,T4,Destination,-0.15603536,0.5,147.21
A075,T1,Destination,-0.57182944,0.5,1.0
A075,T2,Destination,-0.30554652,0.5,28.68
A075,T3,Destination,-1.3515688,0.5,71.37
A075,T4,Destination,-0.6846801,0.5,244.53
A076,T1,Destination,-0.7070801,0.5,1.0
A076,T2,Destination,-1.6155242,0.5,27.3
A076,T3,Destination,-1.2425772,0.5,74.88
A076,T4,Destination,-1.4294585,0.5,149.28
A077,T1,Destination,-0.17447257,0.5,1.0
A077,T2,Destination,-0.8597841,0.5,53.88
A077,T3,Destination,-0.35669112,0.5,78.36
A077,T4,Destination,-0.24809766,0.5,149.75
A078,T1,Destination,-1.068305,0.5,1.0
A078,T2,Destination,-1.0563185,0.5,26.17
A078,T3,Destination,-1.1757432,0.5,72.3
A078,T4,Destination,-1.4174169,0.5,140.08
A079,T1,Destination,0.1498003,0.5,1.0
A079,T2,Destination,-0.6707224,0.5,26.11
A079,T3,Destination,-0.43815857,0.5,74.0
A079,T4,Destination,-0.60441935,0.5,194.42
A080,T1,Destination,0.16752625,0.5,1.0
A080,T2,Destination,0.18738705,0.5,29.03
A080,T3,Destination,-0.34106952,0.5,72.87
A080,T4,Destination,-0.5923623,0.5,145.77
A081,T1,Destination,0.2984473,0.5,1.0
A081,T2,Destination,-0.52936184,0.5,31.39
A081,T3,Destination,-0.46458697,0.5,80.13
A081,T4,Destination,-0.86279833,0.5,154.53
A082,T1,Destination,-0.43024468,0.5,1.0
A082,T2,Destination,-0.49606806,0.5,27.97
A082,T3,Destination,-0.8901417,0.5,75.71
A082,T4,Destination,-1.1045943,0.5,170.25
A083,T1,Destination,0.47181237,0.5,1.0
A083,T2,Destination,-0.74519026,0.5,25.15
A083,T3,Destination,-0.7083179,0.5,74.3
A083,T4,Destination,0.012737401,0.5,144.91
A084,T1,Destination,-1.3033124,0.5,1.0
A084,T2,Destination,-1.4172285,0.5,27.25
A084,T3,Destination,-1.0280648,0.5,91.97
A084,T4,Destination,-1.2650133,0.5,162.51
A085,T1,Destination,0.47878015,0.5,1.0
A085,T2,Destination,0.3064638,0.5,24.51
A085,T3,Destination,0.0715741,0.5,71.4
A085,T4,Destination,-0.8205845,0.5,170.65
A086,T1,Destination,0.22379875,0.5,1.0
A086,T2,Destination,-0.079005115,0.5,23.47
A086,T3,Destination,-0.58177567,0.5,145.29
A086,T4,Destination,-1.0517981,0.5,169.55
A087,T1,Destination,0.5291444,0.5,1.0
A087,T2,Destination,0.38094336,0.5,31.07
A087,T3,Destination,-0.103241794,0.5,72.8
A087,T4,Destination,-0.39149654,0.5,144.2
A088,T1,Destination,0.3560192,0.5,1.0
A088,T2,Destination,0.27706409,0.5,24.25
A088,T3,Destination,-0.28160274,0.5,74.91
A088,T4,Destination,0.4318676,0.5,149.93
A089,T1,Destination,0.19657242,0.5,1.0
A089,T2,Destination,-0.19414687,0.5,32.14
A089,T3,Destination,-0.7148968,0.5,79.34
A089,T4,Destination,-0.2248025,0.5,146.96
A090,T1,Destination,-1.6779197,0.5,1.0
A090,T2,Destination,-1.2846583,0.5,23.54
A090,T3,Destination,-1.6414834,0.5,95.42
A090,T4,Destination,-1.7933134,0.5,144.07
A091,T1,Destination,-0.058466665,0.5,1.0
A091,T2,Destination,-0.27879846,0.5,22.2
A091,T3,Destination,-1.2304739,0.5,73.64
A091,T4,Destination,0.024066277,0.5,142.61
A092,T1,Destination,-0.014764063,0.5,1.0
A092,T2,Destination,-0.7557341,0.5,22.83
A092,T3,Destination,-0.26899004,0.5,71.31
A092,T4,Destination,-1.3647457,0.5,146.16
A093,T1,Destination,0.29553103,0.5,1.0
A093,T2,Destination,-1.211867,0.5,22.09
A093,T3,Destination,-1.6578104,0.5,70.22
A093,T4,Destination,-1.7849536,0.5,140.95
A094,T1,Destination,-1.2510717,0.5,1.0
A094,T2,Destination,-1.1742227,0.5,22.98
A094,T3,Destination,-1.5641828,0.5,76.21
A094,T4,Destination,-1.1065723,0.5,149.99
A095,T1,Destination,0.2294867,0.5,1.0
A095,T2,Destination,-1.0466974,0.5,29.71
A095,T3,Destination,-0.75168335,0.5,78.76
A095,T4,Destination,-1.1310589,0.5,148.79
A096,T1,Destination,0.22043192,0.5,1.0
A096,T2,Destination,-0.29889137,0.5,24.49
A096,T3,Destination,-0.29939425,0.5,71.19
A096,T4,Destination,-0.45191222,0.5,143.66
A097,T1,Destination,-1.1117997,0.5,1.0
A097,T2,Destination,-1.75146,0.5,24.37
A097,T3,Destination,-1.6033994,0.5,70.83
A097,T4,Destination,-1.4632665,0.5,144.85
A098,T1,Destination,-0.38894045,0.5,1.0
A098,T2,Destination,-0.7021278,0.5,25.77
A098,T3,Destination,-0.1247822,0.5,78.84
A098,T4,Destination,-0.53740335,0.5,146.29
A099,T1,Destination,0.40282655,0.5,1.0
A099,T2,Destination,0.0788101,0.5,28.75
A099,T3,Destination,-0.43006015,0.5,78.57
A099,T4,Destination,0.80170184,0.5,143.51
A100,T1,Destination,-0.58934057,0.5,1.0
A100,T2,Destination,-0.59428596,0.5,31.14
A100,T3,Destination,-1.1754352,0.5,75.34
A100,T4,Destination,-1.3743583,0.5,146.8
A101,T1,Destination,-0.7256049,0.5,1.0
A101,T2,Destination,-0.9041368,0.5,29.12
A101,T3,Destination,-1.5923685,0.5,75.21
A101,T4,Destination,-1.676416,0.5,150.22
A102,T1,Destination,-0.37550962,0.5,1.0
A102,T2,Destination,-0.21016592,0.5,29.13
A102,T3,Destination,-0.4991781,0.5,75.27
A102,T4,Destination,-0.42684937,0.5,150.41
A103,T1,Destination,-1.4538294,0.5,1.0
A103,T2,Destination,-1.350898,0.5,27.26
A103,T3,Destination,-1.4905565,0.5,80.24
A103,T4,Destination,-1.4300045,0.5,149.72
A104,T1,Destination,0.24507946,0.5,1.0
A104,T2,Destination,0.028411277,0.5,22.6
A104,T3,Destination,0.13863671,0.5,72.62
A104,T4,Destination,-1.284099,0.5,145.78
A105,T1,Destination,0.5449039,0.5,1.0
A105,T2,Destination,0.18196529,0.5,22.77
A105,T3,Destination,-0.31218833,0.5,69.46
A105,T4,Destination,-0.22133994,0.5,146.2
A106,T1,Destination,0.3040899,0.5,1.0
A106,T2,Destination,-0.6731347,0.5,22.64
A106,T3,Destination,-0.20144719,0.5,66.08
A106,T4,Destination,0.08071876,0.5,147.13
A107,T1,Destination,-1.5541539,0.5,1.0
A107,T2,Destination,-2.0352635,0.5,26.22
A107,T3,Destination,-1.4178009,0.5,71.45
A107,T4,Destination,-1.5716547,0.5,145.95
A108,T1,Destination,-0.34627223,0.5,1.0
A108,T2,Destination,-1.000741,0.5,27.61
A108,T3,Destination,-0.7485418,0.5,68.96
A108,T4,Destination,-0.9805145,0.5,152.12
A109,T1,Destination,-1.2468426,0.5,1.0
A109,T2,Destination,-1.7238507,0.5,24.65
A109,T3,Destination,-1.0366689,0.5,71.17
A109,T4,Destination,-1.4776334,0.5,149.87
