location_type,correlation,CI_lower,CI_upper,p_uncorrected,p_bonferroni,N
Source,-0.24071671128555325,-0.4174027218848604,-0.0464933762749567,0.015843956127922,0.031687912255844,100
Destination,-0.40194257528519806,-0.554579997459187,-0.22313771275206185,3.396460950289004e-05,6.792921900578008e-05,100
