location_type,correlation_confidence,CI_lower_confidence,CI_upper_confidence,p_uncorrected_confidence,p_bonferroni_confidence,correlation_accuracy,direction_match,magnitude_difference
Source,-0.24071671128555325,-0.4174027218848604,-0.0464933762749567,0.015843956127922,0.031687912255844,0.988960816487638,False,1.2296775277731913
Destination,-0.40194257528519806,-0.554579997459187,-0.22313771275206185,3.396460950289004e-05,6.792921900578008e-05,-0.9032610245937028,True,0.5013184493085048
