composite_ID,domain_name,theta
A058_3,free_recall,0.29260176
A058_4,free_recall,-0.7253641
A059_1,free_recall,1.1455572
A059_2,free_recall,0.70063484
A059_3,free_recall,1.8886417
A059_4,free_recall,0.707104
A060_1,free_recall,-0.28380257
A060_2,free_recall,0.65508413
A060_3,free_recall,-0.23793927
A060_4,free_recall,0.40282044
A061_1,free_recall,2.6520677
A061_2,free_recall,0.71750903
A061_3,free_recall,0.9478242
A061_4,free_recall,-0.2300653
A062_1,free_recall,1.518818
A062_2,free_recall,0.3255778
A062_3,free_recall,-0.58905184
A062_4,free_recall,-1.4192165
A063_1,free_recall,1.2829208
A063_2,free_recall,0.29883415
A063_3,free_recall,0.053153753
A063_4,free_recall,-1.3232257
A064_1,free_recall,0.7605149
A064_2,free_recall,0.99977857
A064_3,free_recall,-0.059135675
A064_4,free_recall,-0.6571592
A065_1,free_recall,-1.7866026
A065_2,free_recall,0.29715887
A065_3,free_recall,-1.3762391
A065_4,free_recall,-2.086596
A066_1,free_recall,0.5136064
A066_2,free_recall,-0.340249
A066_3,free_recall,-0.51886594
A066_4,free_recall,-1.064318
A067_1,free_recall,0.5906683
A067_2,free_recall,-0.99566305
A067_3,free_recall,-1.5061786
A067_4,free_recall,-0.9507993
A068_1,free_recall,1.1854429
A068_2,free_recall,-0.8371992
A068_3,free_recall,0.9151877
A068_4,free_recall,-0.6214862
A069_1,free_recall,-0.8866439
A069_2,free_recall,-1.0477601
A069_3,free_recall,-0.19631094
A069_4,free_recall,-1.4710442
A070_1,free_recall,-0.5020277
A070_2,free_recall,0.055385955
A070_3,free_recall,-0.75112313
A070_4,free_recall,-1.1451424
A071_1,free_recall,1.1201348
A071_2,free_recall,0.46076646
A071_3,free_recall,-0.6461998
A071_4,free_recall,0.6780713
A072_1,free_recall,0.82619447
A072_2,free_recall,1.2433964
A072_3,free_recall,-0.4198512
A072_4,free_recall,0.43590578
A073_1,free_recall,1.2069962
A073_2,free_recall,-0.25146562
A073_3,free_recall,0.8319634
A073_4,free_recall,0.91992474
A074_1,free_recall,1.1055782
A074_2,free_recall,-0.2212615
A074_3,free_recall,-0.4392105
A074_4,free_recall,-0.8976728
A075_1,free_recall,0.79446876
A075_2,free_recall,0.0934769
A075_3,free_recall,-1.1469696
A075_4,free_recall,-0.68874884
A076_1,free_recall,-0.37879688
A076_2,free_recall,-1.2708166
A076_3,free_recall,-1.8913044
A076_4,free_recall,-1.8789685
A077_1,free_recall,0.650699
A077_2,free_recall,0.020302454
A077_3,free_recall,-0.12858061
A077_4,free_recall,0.5089726
A078_1,free_recall,-0.96793395
A078_2,free_recall,0.18850741
A078_3,free_recall,-0.71231335
A078_4,free_recall,-1.1471117
A079_1,free_recall,0.26240683
A079_2,free_recall,0.16702609
A079_3,free_recall,-0.5339979
A079_4,free_recall,-0.7154939
A080_1,free_recall,0.1636506
A080_2,free_recall,0.59663814
A080_3,free_recall,0.17725971
A080_4,free_recall,-0.4240778
A081_1,free_recall,-0.22667801
A081_2,free_recall,-0.33767158
A081_3,free_recall,0.96026313
A081_4,free_recall,0.72501624
A082_1,free_recall,-0.006699756
A082_2,free_recall,1.6682975
A082_3,free_recall,0.7526943
A082_4,free_recall,-0.6374326
A083_1,free_recall,2.1985784
A083_2,free_recall,0.4855176
A083_3,free_recall,0.24327783
A083_4,free_recall,-0.026736487
A084_1,free_recall,0.19140172
A084_2,free_recall,-0.49443698
A084_3,free_recall,0.09746596
A084_4,free_recall,-0.711732
A085_1,free_recall,-0.12535754
A085_2,free_recall,1.1659896
A085_3,free_recall,-0.05344089
A085_4,free_recall,-0.7378313
A086_1,free_recall,0.6397939
A086_2,free_recall,-0.15476057
A086_3,free_recall,-1.3329091
A086_4,free_recall,-1.0892459
A087_1,free_recall,0.8669154
A087_2,free_recall,1.1402369
A087_3,free_recall,0.51485014
A087_4,free_recall,0.6448003
A088_1,free_recall,1.582903
A088_2,free_recall,1.7609918
A088_3,free_recall,1.349969
A088_4,free_recall,1.8024635
A089_1,free_recall,1.0567218
A089_2,free_recall,1.4359767
A089_3,free_recall,0.355599
A089_4,free_recall,-0.4800107
A090_1,free_recall,0.3187968
A090_2,free_recall,-0.05776171
A090_3,free_recall,-1.1641972
A090_4,free_recall,-0.95729244
A091_1,free_recall,0.7442122
A091_2,free_recall,-0.14982398
A091_3,free_recall,-0.777897
A091_4,free_recall,-1.2212561
A092_1,free_recall,-0.17898025
A092_2,free_recall,-1.2253082
A092_3,free_recall,-0.93680346
A092_4,free_recall,-1.0188295
A093_1,free_recall,0.34748858
A093_2,free_recall,1.0391287
A093_3,free_recall,0.50911415
A093_4,free_recall,0.42720634
A094_1,free_recall,-0.7908088
A094_2,free_recall,0.2491128
A094_3,free_recall,-0.95207155
A094_4,free_recall,-0.9039359
A095_1,free_recall,1.8722389
A095_2,free_recall,-0.27547964
A095_3,free_recall,-0.40671468
A095_4,free_recall,-0.17193127
A096_1,free_recall,-0.59709364
A096_2,free_recall,-0.90510863
A096_3,free_recall,-1.3264384
A096_4,free_recall,-0.98125094
A097_1,free_recall,0.6974548
A097_2,free_recall,-0.09062028
A097_3,free_recall,0.61136097
A097_4,free_recall,-0.6249373
A098_1,free_recall,0.6181973
A098_2,free_recall,0.45573825
A098_3,free_recall,1.2871739
A098_4,free_recall,-1.0113987
A099_1,free_recall,0.44253778
A099_2,free_recall,1.1837702
A099_3,free_recall,0.75623304
A099_4,free_recall,1.3217355
A100_1,free_recall,-0.017155683
A100_2,free_recall,1.9057443
A100_3,free_recall,0.11833781
A100_4,free_recall,0.15395088
A101_1,free_recall,-0.7022349
A101_2,free_recall,-1.1959767
A101_3,free_recall,-1.250236
A101_4,free_recall,-1.0690691
A102_1,free_recall,-0.74326426
A102_2,free_recall,1.1694843
A102_3,free_recall,-0.6623631
A102_4,free_recall,0.31937963
A103_1,free_recall,1.4629772
A103_2,free_recall,-0.5728183
A103_3,free_recall,-1.2311839
A103_4,free_recall,-0.60801274
A104_1,free_recall,1.5027283
A104_2,free_recall,0.6509609
A104_3,free_recall,-0.3777082
A104_4,free_recall,-1.7975457
A105_1,free_recall,0.4874998
A105_2,free_recall,0.48579073
A105_3,free_recall,-0.4945526
A105_4,free_recall,-0.08354901
A106_1,free_recall,1.4319232
A106_2,free_recall,-0.38613796
A106_3,free_recall,0.4645174
A106_4,free_recall,1.0602344
A107_1,free_recall,-1.0741007
A107_2,free_recall,-1.3143029
A107_3,free_recall,-0.69963926
A107_4,free_recall,-0.24833901
A108_1,free_recall,-0.49332818
A108_2,free_recall,-0.6088191
A108_3,free_recall,-0.20306882
A108_4,free_recall,-1.4056138
A109_1,free_recall,0.18787844
A109_2,free_recall,-1.0268363
A109_3,free_recall,0.19162017
A109_4,free_recall,-1.596729
A010_1,cued_recall,2.897472
A010_2,cued_recall,0.25215518
A010_3,cued_recall,-0.48407274
A010_4,cued_recall,0.13367179
A011_1,cued_recall,0.247038
A011_2,cued_recall,-0.013326573
A011_3,cued_recall,0.025292873
A011_4,cued_recall,-0.6667223
A012_1,cued_recall,0.7655914
A012_2,cued_recall,0.11006777
A012_3,cued_recall,0.5285822
A012_4,cued_recall,-1.5527021
A013_1,cued_recall,-0.21658206
A013_2,cued_recall,-1.0303782
A013_3,cued_recall,0.43515426
A013_4,cued_recall,-1.6088848
A014_1,cued_recall,0.43844995
A014_2,cued_recall,1.3286362
A014_3,cued_recall,0.38859415
A014_4,cued_recall,-1.0339799
A015_1,cued_recall,1.6459106
A015_2,cued_recall,1.8339851
A015_3,cued_recall,0.9571346
A015_4,cued_recall,0.7695354
A016_1,cued_recall,1.5198238
A016_2,cued_recall,1.1942037
A016_3,cued_recall,-0.28935182
A016_4,cued_recall,-1.0089698
A017_1,cued_recall,-0.34962744
A017_2,cued_recall,1.0293108
A017_3,cued_recall,0.39301065
A017_4,cued_recall,0.8526117
A018_1,cued_recall,0.42781335
A018_2,cued_recall,0.10963265
A018_3,cued_recall,-0.2981233
A018_4,cued_recall,-0.0114465235
A019_1,cued_recall,-0.5570444
A019_2,cued_recall,-0.6596726
A019_3,cued_recall,-1.087456
A019_4,cued_recall,-0.9978212
A020_1,cued_recall,-0.14432445
A020_2,cued_recall,0.1686937
A020_3,cued_recall,-0.57148427
A020_4,cued_recall,-1.8023208
A021_1,cued_recall,1.0407785
A021_2,cued_recall,-0.1988772
A021_3,cued_recall,-0.01334973
A021_4,cued_recall,0.2201514
A022_1,cued_recall,-0.03622777
A022_2,cued_recall,0.61690366
A022_3,cued_recall,0.5574363
A022_4,cued_recall,0.6330778
A023_1,cued_recall,0.0049070776
A023_2,cued_recall,0.10905584
A023_3,cued_recall,0.37683445
A023_4,cued_recall,-0.06549558
A024_1,cued_recall,-0.11731464
A024_2,cued_recall,0.24077277
A024_3,cued_recall,0.061000813
A024_4,cued_recall,-1.4027498
A025_1,cued_recall,1.1926694
A025_2,cued_recall,1.6954854
A025_3,cued_recall,-0.17319071
A025_4,cued_recall,-0.70022553
A026_1,cued_recall,0.9669529
A026_2,cued_recall,0.19816421
A026_3,cued_recall,0.9800013
A026_4,cued_recall,-1.0574824
A027_1,cued_recall,0.36512017
A027_2,cued_recall,0.20579433
A027_3,cued_recall,-0.75778425
A027_4,cued_recall,0.09756062
A028_1,cued_recall,1.5569464
A028_2,cued_recall,-0.25126487
A028_3,cued_recall,0.22694457
A028_4,cued_recall,-1.0353392
A029_1,cued_recall,1.7343671
A029_2,cued_recall,0.3621754
A029_3,cued_recall,1.1714802
A029_4,cued_recall,0.21981564
A030_1,cued_recall,-0.061149955
A030_2,cued_recall,0.89591074
A030_3,cued_recall,0.32383275
A030_4,cued_recall,0.6366541
A031_1,cued_recall,2.0491133
A031_2,cued_recall,-0.3692442
A031_3,cued_recall,-0.64966357
A031_4,cued_recall,-1.3150903
A032_1,cued_recall,0.47272772
A032_2,cued_recall,-0.3727896
A032_3,cued_recall,0.39767575
A032_4,cued_recall,1.3459568
A033_1,cued_recall,-0.12520738
A033_2,cued_recall,0.5392948
A033_3,cued_recall,0.49183208
A033_4,cued_recall,-0.39825767
A034_1,cued_recall,2.1213298
A034_2,cued_recall,1.030052
A034_3,cued_recall,0.2686728
A034_4,cued_recall,0.060297567
A035_1,cued_recall,-0.034298353
A035_2,cued_recall,0.7329341
A035_3,cued_recall,0.0071861623
A035_4,cued_recall,-1.2184646
A036_1,cued_recall,1.2865889
A036_2,cued_recall,-0.09102873
A036_3,cued_recall,-0.48472375
A036_4,cued_recall,-1.2499079
A037_1,cued_recall,1.3140671
A037_2,cued_recall,0.63254344
A037_3,cued_recall,0.31601244
A037_4,cued_recall,0.032744266
A038_1,cued_recall,0.93286926
A038_2,cued_recall,-0.065195404
A038_3,cued_recall,0.8221533
A038_4,cued_recall,-0.21395174
A039_1,cued_recall,1.6721447
A039_2,cued_recall,1.134991
A039_3,cued_recall,1.0596371
A039_4,cued_recall,1.2646226
A040_1,cued_recall,-0.83505136
A040_2,cued_recall,-0.14198618
A040_3,cued_recall,-1.7154186
A040_4,cued_recall,-1.5555326
A041_1,cued_recall,1.2510659
A041_2,cued_recall,-0.6830585
A041_3,cued_recall,-0.26905623
A041_4,cued_recall,0.47443074
A042_1,cued_recall,-0.63917875
A042_2,cued_recall,-0.5984267
A042_3,cued_recall,-0.41001946
A042_4,cued_recall,-1.3980378
A043_1,cued_recall,1.0696695
A043_2,cued_recall,0.02996022
A043_3,cued_recall,0.2037425
A043_4,cued_recall,-0.39774126
A044_1,cued_recall,-0.31401584
A044_2,cued_recall,-0.6277885
A044_3,cued_recall,-1.7057804
A044_4,cued_recall,-1.3332622
A045_1,cued_recall,-0.44888124
A045_2,cued_recall,-1.2056612
A045_3,cued_recall,-0.89474994
A045_4,cued_recall,-0.7968118
A046_1,cued_recall,-0.560799
A046_2,cued_recall,-1.7783871
A046_3,cued_recall,-1.9773508
A046_4,cued_recall,-1.3094921
A047_1,cued_recall,-0.6111963
A047_2,cued_recall,-0.7542659
A047_3,cued_recall,-1.5469131
A047_4,cued_recall,-1.2552807
A048_1,cued_recall,1.4344239
A048_2,cued_recall,-0.016234118
A048_3,cued_recall,-0.326755
A048_4,cued_recall,0.20848027
A049_1,cued_recall,1.5158272
A049_2,cued_recall,-0.5085339
A049_3,cued_recall,0.3875031
A049_4,cued_recall,0.13061912
A050_1,cued_recall,-0.09581488
A050_2,cued_recall,-0.7849187
A050_3,cued_recall,-1.0739477
A050_4,cued_recall,-0.76310146
