predictor_value,partial_residual
1.0,0.581182923741976
21.9,-0.35628498727055385
80.88,-0.8215825382540752
145.31,0.37222364517652645
1.0,0.36791254681136903
24.57,0.3259575247861914
72.55,-0.28524921844852386
148.85,-0.3288267946084047
1.0,0.46879496062208287
25.6,-0.5490156849541026
166.33,0.2961058927433238
166.87,-0.8594941930175435
1.0,-0.2014513072324119
24.77,-0.14944391162766618
79.66,0.6179982235171849
147.13,-0.4078849644013992
1.0,-0.42024322011558085
25.66,1.273439977851174
70.56,-0.034555195851652995
148.87,-0.4676905091963481
1.0,-0.2588619984204045
23.69,0.4096689828318489
70.59,0.43819870429387103
146.54,-0.581034898444303
1.0,0.13502374046764404
32.85,-0.6445485608865098
80.64,0.20978952371591333
150.8,-0.6369974004754928
1.0,-1.1055422308280904
20.61,0.7757812298769581
61.28,0.474106463049435
140.49,-0.06325305520014637
1.0,0.01827496489467008
34.03,-0.19178727692234598
83.64,-0.6995827616385423
150.87,0.32300387764075433
1.0,0.37632832196895855
28.69,-0.26848611007165085
83.68,0.1908166988948701
154.76,-0.008642169538511157
1.0,-0.12234106023346139
26.85,0.01439083285811251
78.25,0.5004942539142433
145.78,-0.8851245316319738
1.0,-0.051503612340347324
30.21,0.16408652482101393
74.19,-0.31677898553028305
140.39,0.13213829349125628
1.0,-0.49690105738189105
24.15,0.12897719842367816
74.46,-0.28720916428386567
141.71,0.14918343029983802
1.0,0.05640924409819732
25.63,-0.5766201095651735
72.2,0.3316767253196192
145.07,-0.10140675084240659
1.0,-0.4396896060345404
29.57,-0.10206111613062077
91.47,0.46739481674499683
145.65,-0.27265106160864966
1.0,-0.3068329780790537
23.33,1.0588705222507502
72.94,-0.6229402932862003
137.74,-0.9484549261229528
1.0,-0.030907286905693263
26.48,-0.38538157876543117
75.46,0.1679242878954638
147.65,-0.1953513592621323
1.0,0.13423553281134132
28.26,0.24678755860274196
74.58,-0.5293734430506561
145.92,-0.35229721105126915
1.0,0.499893417698466
22.82,0.002256513392621534
72.26,-0.37571579159763907
138.91,-0.0032216918484241908
1.0,0.1526313014593162
28.43,-0.9239447973344627
93.26,0.26639570010970426
143.14,0.07115492579405361
1.0,-0.4956202260343173
32.95,0.5822255785903014
71.93,-0.43247212073610647
150.46,-0.31072568455741295
1.0,0.8634507456556614
32.41,-0.8799011813010442
71.56,-0.052733690391444044
143.85,-0.16897980962618503
1.0,0.1017678464289062
57.18,-0.6391804546805164
80.16,0.13796764454107718
144.51,0.37738316321635446
1.0,-0.4380615989303612
29.16,-0.04540755831228702
72.6,0.7448109028449439
168.33,-0.20549422335559248
1.0,0.3816324977503694
26.08,-0.32503289304455846
74.28,-0.15653282822653905
145.38,-0.29951358692581265
1.0,-0.5912383146641678
44.76,0.9929678731298485
79.98,-0.10701375846266636
152.47,-0.4603003700148378
1.0,0.29911233731997516
21.63,-0.11863153907669935
71.47,-0.13086915294720763
143.85,-0.03363941472088672
1.0,-0.04066681438881596
23.7,0.4042262712934914
72.08,-0.36727339143266213
143.66,-0.2614718526355368
1.0,0.11964202980270817
71.85,-0.37021093888333967
72.86,0.3272580132610812
152.89,-0.1790683161885655
1.0,0.5346039613862118
28.65,-0.2730703272846003
98.84,-0.6710928287785176
