time,test,domain,Segment,mean_theta,CI_lower,CI_upper,predicted_theta,n_obs
1.0,1,what,Early,0.60461890992,0.4405476138022027,0.7686902060377974,0.5878665534629302,100
26.37,2,what,Early,0.05655240079650001,-0.1072093966222222,0.22031419821522222,0.1169810027250557,100
74.53,3,what,Late,-0.24390257662999995,-0.39934632743203957,-0.08845882582796036,-0.23084658804723307,100
147.13,4,what,Late,-0.44615724874099993,-0.6051877342497899,-0.28712676323221,-0.4382802217473107,100
1.0,1,when,Early,0.33246238560999997,0.1726676068865916,0.4922571643334083,0.3363865321494805,100
26.37,2,when,Early,-0.007615643122000006,-0.10626917644790637,0.09103789020390635,0.017736763054450863,100
74.53,3,when,Late,0.044600504220000003,-0.08819395279581208,0.17739496123581208,0.06283424836062658,100
147.13,4,when,Late,0.06533181584500002,-0.07377354591356029,0.20443717760356034,0.04601982025272094,100
1.0,1,where,Early,0.6483238868499999,0.47402682715318156,0.8226209465468182,0.6414286388057762,100
26.37,2,where,Early,0.14687793064399995,-0.020864201628199186,0.3146200629161991,0.19512433117276382,100
74.53,3,where,Late,-0.18555383004,-0.3443970961407653,-0.026710563939234683,-0.18653582964853613,100
147.13,4,where,Late,-0.462489801707,-0.6262380571630937,-0.2987415462509063,-0.43575025596126643,100
