paradigm,age_effect,SE,z,p_uncorrected,p_bonferroni,significant_bonferroni
IFR,-0.0111946606365408,0.0067580300742927,-1.6564976055855212,0.09762108955516036,0.29286326866548107,False
ICR,-0.0094922936816091,0.009039778305293122,-1.050058238270181,0.29369133769402733,0.881074013082082,False
IRE,-0.013105813136338799,0.009039778305293122,-1.4497936446809612,0.14711607230688362,0.44134821692065085,False
